"hour","cspmen1","cspmen2","cspmen3","cspmen4","cspmen5"
"4am",0.335075629156817,0.376416886487189,-0.0314802903513304,0.295593249579327,0.537695581572963
"5am",0.333376618083101,0.357201571938449,-0.0285803899026526,0.281050648632457,0.539513999668092
"6am",0.348458597698513,0.3531523323134,-0.055118314117964,0.272375605016777,0.53712976533744
"7am",0.316534626774934,0.358590925578501,-0.137099247753766,0.301892498427496,0.554625946652326
"8am",0.19108866600301,0.353946337315242,-0.110907474920691,0.352038662229068,0.459658051195998
"9am",0.184496470963323,0.362500763892119,-0.148378781945463,0.357585742801599,0.481866502182139
"10am",0.197832182955008,0.391621473474654,-0.141856947236883,0.364676316355377,0.466350449853251
"11am",0.219525911361433,0.403157466049481,-0.126779555941755,0.345134732856781,0.474650479243638
"12am",0.217710926240152,0.363735117924275,-0.0563407015462381,0.281932734925826,0.437856903683592
"1pm",0.267870105475425,0.354317733387041,-0.0715098094075448,0.292206663544223,0.423712740391108
"2pm",0.320784593538957,0.388853793890846,-0.1164174005406,0.291874620455088,0.467771394416331
"3pm",0.261278502436005,0.396384439651887,-0.131676395693021,0.283325751818854,0.473000277162986
"4pm",0.297081709257706,0.410427120759305,-0.0771860485579906,0.350364831560226,0.46576103224587
"5pm",0.308194869423873,0.355873336937445,-0.0163593581551062,0.285479971533313,0.535845007113004
"6pm",0.318409361253606,0.357651792705142,-0.037852557615722,0.247387942126194,0.549611120564867
"7pm",0.322856542310229,0.337179974202031,0.00402848706046146,0.273958972222566,0.57088736278188
"8pm",0.359011023993915,0.327436787799488,-0.0266115743508111,0.291574354882322,0.530251736589283
"9pm",0.357928940542948,0.355476173869496,-0.0129968496780536,0.295070475586006,0.55137883120642
"10pm",0.361667679300464,0.359680275617658,-0.0135299388087586,0.313558452674562,0.538169841935777
"11pm",0.352712281262726,0.374793832458358,0.00945280372559587,0.321382398666084,0.555911099651071
"12pm",0.349766707522592,0.379713455954063,0.00897760348552129,0.30806418226288,0.543881190830483
"1am",0.345522570714274,0.377551002102791,-0.000800169957994461,0.300442498904551,0.537965970559381
"2am",0.345785032958238,0.377971325135759,-0.00188165613170685,0.295993902576389,0.540639672530748
"3am",0.342787056261414,0.389425666125261,-0.00276038469966981,0.305681931968813,0.542672811337243
