"hour","cleduc1","cleduc2","cleduc3","cleduc4"
"4am",0.2362,0.1876,0.1,0.2841
"5am",0.242,0.1826,0.0985,0.2818
"6am",0.2426,0.1749,0.0956,0.2788
"7am",0.2635,0.1711,0.1025,0.2731
"8am",0.2596,0.1691,0.1101,0.2435
"9am",0.2593,0.1726,0.1046,0.2526
"10am",0.2501,0.173,0.0955,0.2476
"11am",0.2632,0.1805,0.1151,0.2591
"12am",0.2526,0.1888,0.1116,0.2656
"1pm",0.2427,0.1882,0.1125,0.2551
"2pm",0.2602,0.1796,0.1162,0.2494
"3pm",0.2519,0.1922,0.1247,0.2476
"4pm",0.2446,0.1807,0.1028,0.2538
"5pm",0.2363,0.1691,0.1157,0.2499
"6pm",0.2249,0.1794,0.1077,0.2712
"7pm",0.2353,0.1853,0.1023,0.2702
"8pm",0.2397,0.1872,0.1041,0.2788
"9pm",0.239,0.186,0.099,0.281
"10pm",0.2355,0.1861,0.0941,0.2835
"11pm",0.2392,0.1867,0.0969,0.2817
"12pm",0.2379,0.1867,0.1002,0.281
"1am",0.2366,0.1863,0.1001,0.2801
"2am",0.2365,0.1862,0.1001,0.281
"3am",0.2369,0.1849,0.1005,0.2808
