"hour","act1","act2","act3","act4","act5"
"4am",0.269,0.3346,0.4828,0,0
"5am",0.2576,0.2971,0.437,0,0
"6am",0.2358,0.2553,0.9546,0.9655,0.4432
"7am",0.2399,0.2111,0.4868,0.9034,0.3234
"8am",0.2645,0.2192,0.4794,0.4339,0.2588
"9am",0.2654,0.2121,0.4819,0.3689,0.2082
"10am",0.2581,0.2187,0.4903,0.3035,0.2169
"11am",0.2789,0.2275,0.4935,0.374,0.2466
"12am",0.2803,0.2108,0.4853,0.5061,0.2411
"1pm",0.28,0.2178,0.4979,0.4254,0.1841
"2pm",0.2739,0.2184,0.4993,0.4037,0.1807
"3pm",0.2576,0.2133,0.4871,0.4265,0.1693
"4pm",0.2554,0.2264,0.5196,0.4314,0.168
"5pm",0.2146,0.2438,0.5815,0.4147,0.1654
"6pm",0.2093,0.2496,0.68,0.4502,0.1565
"7pm",0.2571,0.3093,0.7117,0.6598,0.2512
"8pm",0.287,0.3579,0.8076,0.8323,0.3092
"9pm",0.334,0.3881,0.9058,0.941,0.3568
"10pm",0.3596,0.4239,0.9639,0.3959,0
"11pm",0.3694,0.4683,0.9635,0.4414,0
"12pm",0.3675,0.5142,0.9835,0.4356,0
"1am",0.3756,0.5084,0.9835,0.468,0
"2am",0.3691,0.51,0.9835,0.4733,0
"3am",0.3779,0.5527,0.9834,0.4752,0
