"hour","cs1","cs2","cs3","cs4","cs5"
"4am",0.252,0.2139,0.1246,0.1442,0.2736
"5am",0.2522,0.2101,0.1259,0.1416,0.2752
"6am",0.254,0.2167,0.1202,0.1437,0.2695
"7am",0.2519,0.207,0.114,0.1369,0.271
"8am",0.2357,0.1872,0.105,0.1338,0.246
"9am",0.2354,0.197,0.1074,0.1357,0.2488
"10am",0.2371,0.191,0.1012,0.1328,0.2446
"11am",0.2186,0.2078,0.1089,0.1332,0.2553
"12am",0.227,0.2062,0.1124,0.1301,0.2705
"1pm",0.2162,0.1998,0.1114,0.1296,0.2568
"2pm",0.2341,0.2005,0.1065,0.141,0.2461
"3pm",0.2196,0.2016,0.1114,0.1425,0.2543
"4pm",0.238,0.1907,0.1101,0.1449,0.2481
"5pm",0.2362,0.1915,0.123,0.1282,0.2451
"6pm",0.2416,0.2087,0.1221,0.1441,0.2492
"7pm",0.2518,0.2068,0.12,0.143,0.26
"8pm",0.2656,0.2037,0.1246,0.1368,0.2723
"9pm",0.2582,0.2069,0.1242,0.136,0.274
"10pm",0.2551,0.2055,0.1227,0.1352,0.2714
"11pm",0.251,0.2091,0.1205,0.1387,0.2728
"12pm",0.2508,0.2106,0.1214,0.1396,0.2691
"1am",0.2507,0.213,0.1235,0.1415,0.2692
"2am",0.2509,0.214,0.1229,0.1423,0.2694
"3am",0.2507,0.217,0.1227,0.1431,0.2707
