"hour","cspmen1","cspmen2","cspmen3","cspmen4","cspmen5"
"4am",0.2568,0.2319,0.1283,0.2115,0.3334
"5am",0.2507,0.2264,0.1285,0.2104,0.3332
"6am",0.2503,0.226,0.1164,0.2074,0.3268
"7am",0.2285,0.2115,0.1028,0.1905,0.3195
"8am",0.2066,0.1764,0.0951,0.167,0.2638
"9am",0.1991,0.1748,0.0933,0.1625,0.2693
"10am",0.1941,0.1664,0.0945,0.1695,0.2618
"11am",0.1815,0.1794,0.0964,0.1681,0.2712
"12am",0.2031,0.1851,0.0981,0.1597,0.2885
"1pm",0.2006,0.1801,0.0974,0.1596,0.2842
"2pm",0.2104,0.1742,0.1096,0.1717,0.2749
"3pm",0.2128,0.183,0.1039,0.1878,0.2767
"4pm",0.2331,0.1833,0.1019,0.1781,0.2809
"5pm",0.245,0.1982,0.1184,0.1927,0.2905
"6pm",0.2494,0.215,0.1201,0.2035,0.2989
"7pm",0.2671,0.2207,0.124,0.1956,0.3248
"8pm",0.2759,0.2217,0.1247,0.1925,0.3337
"9pm",0.27,0.2238,0.1259,0.2007,0.3321
"10pm",0.2647,0.2212,0.1248,0.2045,0.3175
"11pm",0.2644,0.2261,0.1206,0.2051,0.3203
"12pm",0.2627,0.2266,0.1252,0.2055,0.328
"1am",0.2626,0.2275,0.1264,0.207,0.3266
"2am",0.2635,0.2281,0.1256,0.2075,0.3269
"3am",0.2626,0.2308,0.1246,0.2079,0.3272
