"hour","resarea1","resarea2","resarea3"
"4am",0.989,0.9904,0.989
"5am",0.9785,0.9841,0.9833
"6am",0.9452,0.9686,0.9666
"7am",0.8819,0.8774,0.8738
"8am",0.7943,0.7273,0.7205
"9am",0.7385,0.6708,0.6688
"10am",0.7165,0.6446,0.6417
"11am",0.736,0.6557,0.6539
"12am",0.7377,0.6967,0.6944
"1pm",0.7519,0.6653,0.6631
"2pm",0.7321,0.6501,0.6483
"3pm",0.7652,0.6672,0.6637
"4pm",0.8221,0.7209,0.7114
"5pm",0.8949,0.8137,0.804
"6pm",0.8969,0.8968,0.897
"7pm",0.9328,0.9263,0.9248
"8pm",0.9541,0.941,0.9396
"9pm",0.9738,0.9582,0.9553
"10pm",0.9776,0.971,0.9685
"11pm",0.985,0.9809,0.9807
"12pm",0.9967,0.9893,0.9896
"1am",0.9967,0.9911,0.9914
"2am",0.9967,0.9916,0.9919
"3am",0.9967,0.9933,0.9931
