"hour","educmen1","educmen2","educmen3","educmen4"
"4am",0.2531,0.2107,0.1382,0.3259
"5am",0.257,0.2105,0.132,0.3248
"6am",0.2536,0.2054,0.1305,0.3204
"7am",0.2559,0.1849,0.1296,0.3082
"8am",0.2417,0.1778,0.1355,0.2675
"9am",0.2306,0.1778,0.1343,0.2678
"10am",0.2229,0.1752,0.1245,0.2605
"11am",0.2324,0.1771,0.1345,0.2702
"12am",0.2287,0.1903,0.1323,0.2812
"1pm",0.2208,0.1826,0.1347,0.2674
"2pm",0.2342,0.178,0.1352,0.2626
"3pm",0.225,0.185,0.1472,0.2634
"4pm",0.233,0.1918,0.1319,0.2715
"5pm",0.2329,0.1904,0.1494,0.2807
"6pm",0.2411,0.1992,0.1504,0.3022
"7pm",0.2438,0.207,0.1382,0.3166
"8pm",0.2479,0.2118,0.1408,0.3208
"9pm",0.2513,0.2105,0.1431,0.324
"10pm",0.2456,0.2104,0.1377,0.326
"11pm",0.2487,0.2103,0.1396,0.3251
"12pm",0.2487,0.2119,0.1391,0.3275
"1am",0.2474,0.2097,0.1378,0.3255
"2am",0.2475,0.2092,0.1376,0.3265
"3am",0.2478,0.2079,0.135,0.3268
