"hour","sex1","sex2"
"4am",0.061,0.061
"5am",0.0601,0.0601
"6am",0.0603,0.0603
"7am",0.0662,0.0662
"8am",0.0761,0.0761
"9am",0.0745,0.0745
"10am",0.0762,0.0762
"11am",0.074,0.074
"12am",0.0689,0.0689
"1pm",0.0637,0.0637
"2pm",0.0691,0.0691
"3pm",0.0638,0.0638
"4pm",0.0635,0.0635
"5pm",0.0602,0.0602
"6pm",0.0701,0.0701
"7pm",0.059,0.059
"8pm",0.0646,0.0646
"9pm",0.057,0.057
"10pm",0.0563,0.0563
"11pm",0.0579,0.0579
"12pm",0.0597,0.0597
"1am",0.0602,0.0602
"2am",0.0607,0.0607
"3am",0.0596,0.0596
