"hour","age1","age2","age3","age4"
"4am",0.2025,0.1335,0.1337,0.1236
"5am",0.1998,0.1382,0.1357,0.1237
"6am",0.2079,0.139,0.1355,0.1344
"7am",0.2679,0.1421,0.1402,0.1767
"8am",0.2897,0.1223,0.1267,0.214
"9am",0.3015,0.1243,0.1304,0.2262
"10am",0.3048,0.1243,0.129,0.2206
"11am",0.303,0.1234,0.1291,0.2132
"12am",0.3065,0.1233,0.1327,0.21
"1pm",0.3042,0.1154,0.1321,0.2089
"2pm",0.2981,0.131,0.1265,0.2045
"3pm",0.2878,0.1285,0.1293,0.1959
"4pm",0.2712,0.1169,0.1186,0.1857
"5pm",0.213,0.1259,0.1099,0.1443
"6pm",0.2036,0.1343,0.1254,0.1305
"7pm",0.2054,0.1389,0.1372,0.1222
"8pm",0.2028,0.1453,0.137,0.1214
"9pm",0.2061,0.1387,0.14,0.119
"10pm",0.2068,0.1381,0.1382,0.1234
"11pm",0.2082,0.1397,0.1368,0.1262
"12pm",0.2068,0.1365,0.1357,0.1231
"1am",0.2071,0.1312,0.1342,0.1226
"2am",0.2065,0.1308,0.1337,0.1217
"3am",0.2058,0.1289,0.1338,0.1206
