"hour","occ1","occ2","occ3","occ4","occ5"
"4am",0.39230560193465,0.478065966522086,0.313854171078437,0.422365380298354,0.313216627186627
"5am",0.374307752244297,0.474695300860752,0.310673612293965,0.429300858567089,0.300038884511341
"6am",0.372652605503391,0.479880280992111,0.307397789892284,0.434422662890429,0.294691294044278
"7am",0.172626935916789,0.377304309853377,0.233909421876625,0.410677022097942,0.285782775721437
"8am",0.00917958132384584,0.20862802882504,0.0976018731720226,0.374470733237199,0.200429489032638
"9am",0.030819126977113,0.15636948609489,0.0798134155495177,0.298439741508021,0.227297734210282
"10am",0.0214409964345097,0.136173604693649,0.111193596439968,0.368703056679306,0.167477164221892
"11am",0.00795895267347171,0.15407378766059,0.104119741488658,0.367621260088034,0.140687311412735
"12am",0.081844676569675,0.249737215594015,0.187964638320614,0.369060454986854,0.183960159196201
"1pm",0.00463669570729019,0.199639577573672,0.119666646838322,0.350689745671806,0.194573351373865
"2pm",0.0267835736117675,0.222840393398858,0.0875954796100792,0.407557126656013,0.280453605476375
"3pm",0.0313744834575179,0.250033112903799,0.139803619501686,0.411991671616961,0.192651283193076
"4pm",0.0700156814716598,0.262820166826523,0.275295273446181,0.409280229786129,0.174271735506871
"5pm",0.164995901579882,0.401192610033383,0.258512188793154,0.448447593043607,0.253623920797133
"6pm",0.344828500723345,0.458320287729765,0.318471024388663,0.3971940326006,0.287372284459673
"7pm",0.353507810864939,0.458517990875137,0.324018935100682,0.391267777661595,0.335310709288076
"8pm",0.380148162965704,0.464440772450335,0.329564359005215,0.403799755561452,0.354929151908457
"9pm",0.383453558004361,0.475375220066342,0.328776106758104,0.43026110043811,0.351303826389794
"10pm",0.387790186989402,0.478196531006023,0.348759861099012,0.437995560214893,0.351305486162214
"11pm",0.396387099157407,0.495611914472922,0.347786046003189,0.435863425831336,0.354446698358548
"12pm",0.408555815676282,0.503816899042975,0.340651564487311,0.443935032805381,0.344855624922903
"1am",0.410801895160649,0.502888785717223,0.340224559146898,0.443311444677931,0.343428295679885
"2am",0.405228136893754,0.495631461072163,0.333847766506987,0.439566247022081,0.345369128410419
"3am",0.410716933801326,0.498668911419974,0.33541183152099,0.436071302945653,0.345837081268146
