"hour","001","002","003","004","005","006","007","008","009","010","011","012","013","014","015","016","017","018","019","020","022","024","025","027","028","029","030"
"min",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"max",11943.00372,11943.00372,11943.00372,11943.00372,11943.00372,11943.00372,11943.00372,11943.00372,11943.00372,11943.00372,11943.00372,11943.00372,11943.00372,11943.00372,11943.00372,11943.00372,11943.00372,11943.00372,11943.00372,11943.00372,11943.00372,11943.00372,11943.00372,11943.00372,11943.00372,11943.00372,11943.00372
"4am",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5am",0,0,0,0,0,0,0,0,0,0,0,0,0,926.11095,0,0,0,0,669.74381,686.22947,0,0,0,0,0,0,0
"6am",0,0,0,0,0,0,0,0,0,0,0,0,0,1687.38174,0,0,0,0,898.98111,847.25125,0,0,0,0,0,0,0
"7am",568.70711,920.54881,3783.01266,909.87322,1350.61025,572.79835,915.07872,0,1448.40191,763.77612,898.25652,579.94842,0,4626.74783,0,0,0,0,1854.59376,2910.06223,778.37564,0,0,0,1191.56291,0,1052.83055
"8am",2410.05458,2333.22475,6559.82933,2119.7062,1640.96533,661.00607,1707.98269,973.64911,2113.86696,1230.80463,1341.64829,839.14184,0,7970.37971,598.89531,0,560.64112,0,2799.28092,6738.70648,1338.01841,775.03256,393.1563,0,1609.40111,538.79192,1370.45218
"9am",3284.83328,2864.68732,7636.53799,2542.75197,1922.3427,684.26311,1990.43634,1179.59224,2691.50659,1331.95689,1955.79777,987.20147,0,8991.20223,826.97484,0,651.15214,0,3012.45334,10095.57596,1359.87561,891.3677,393.1563,0,1946.37727,624.04015,2034.01726
"10am",4227.52579,2925.26591,7463.37207,2837.73197,2043.67619,748.01102,2238.42219,1215.46457,2544.17859,1290.53491,2132.45433,1322.77086,689.10758,8870.67965,821.90558,0,630.76109,576.9117,3262.90743,10967.90835,1426.51058,856.28524,475.69279,0,1949.18948,648.86728,2044.54504
"11am",3408.51015,3006.15464,6773.22526,2586.14484,1707.47601,715.49158,2052.72248,913.96431,2435.67359,1167.5863,1866.35008,1102.27445,758.69897,8235.35498,0,0,761.10514,866.08791,2669.23051,10071.19277,1334.94678,1031.29548,0,0,1838.5899,556.00613,1835.54441
"12am",3383.50659,2345.57948,5951.67138,1861.16646,1229.05534,605.58156,1677.66273,687.85855,1592.35967,772.13744,1828.88598,784.6236,0,7299.45154,0,0,661.70825,0,1963.74432,8988.59358,1145.35131,677.48925,0,0,1564.40673,0,1653.22196
"1pm",2720.1473,2951.68393,6271.20388,2578.9025,1608.28098,705.63382,1657.09085,562.43467,2160.80208,1043.74801,2157.08238,764.99602,617.60877,8751.75325,0,0,572.75229,0,2751.92119,9629.81434,1142.36538,745.6343,0,0,1810.35963,0,1656.91413
"2pm",3221.57554,3000.49888,7139.46945,3140.04284,1528.78573,857.62718,1940.09935,865.89635,2448.50668,1144.3448,2187.78223,941.27971,684.70528,8729.22666,0,592.93521,493.68416,0,3383.03881,11239.57862,1294.01489,615.00402,0,0,1840.88012,801.46489,1914.24236
"3pm",3857.0527,2445.62913,6596.28195,2793.37995,1907.54748,1077.21734,2042.81421,818.42834,2568.49851,1116.63808,2239.1717,520.17744,1062.98017,8017.88935,784.70582,0,0,704.40888,2997.89968,11943.00372,1329.54308,655.80242,377.56394,546.34987,1327.82898,819.3878,1820.86661
"4pm",3449.47669,2092.72988,4785.65427,1950.74603,1782.89848,690.1022,1922.1335,766.0136,1717.2692,1137.34106,1589.5479,417.72056,964.47364,5746.0282,0,0,419.28427,0,2524.12945,9840.3738,1031.8692,0,0,0,1080.24085,487.66737,1937.20535
"5pm",2419.29942,1284.46786,2878.40899,1358.29179,1153.26025,0,1219.2192,752.63086,941.06956,642.93755,700.47061,0,640.92483,3800.14729,0,0,0,0,1809.39384,6882.43401,0,0,0,0,847.30846,0,736.06226
"6pm",1424.07108,0,1592.45692,637.26374,682.85254,0,731.36543,0,761.43047,0,791.32462,0,0,2083.30865,0,0,0,0,1205.8492,4653.91331,0,0,0,0,645.78227,0,497.16728
"7pm",621.68887,455.70719,1086.66692,0,367.00767,0,0,0,0,0,0,0,0,1256.28019,0,0,0,0,859.68939,2253.33978,0,0,0,0,0,0,580.63955
"8pm",748.78082,0,521.62345,0,424.29221,0,0,0,0,0,0,0,0,766.4474,0,0,0,0,784.49377,1688.51258,0,0,0,0,0,0,674.43517
"9pm",787.86149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1315.34492,0,0,0,0,0,0,542.60247
"10pm",493.8595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,890.60789,0,0,0,0,0,0,0
"11pm",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12pm",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1am",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2am",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3am",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
