"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"7596.08762";"7596.08762";"7596.08762";"7596.08762";"7596.08762";"7596.08762";"7596.08762";"7596.08762";"7596.08762";"7596.08762";"7596.08762";"7596.08762";"7596.08762";"7596.08762";"7596.08762";"7596.08762";"7596.08762";"7596.08762";"7596.08762";"7596.08762";"7596.08762";"7596.08762";"7596.08762";"7596.08762";"7596.08762";"7596.08762";"7596.08762";"7596.08762";"7596.08762";"7596.08762"
"4am";"0";" 0";" 0";" 0";" 0";"0";" 0";"0";"0";" 0";" 0";"0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";"0";" 0";" 0";"0";" 0"
"5am";"0";" 0";" 0";" 0";" 0";"0";" 0";"0";"0";"0";" 0";" 0";" 0";" 0";"0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";"0";" 0"
"6am";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"0";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"0";"  0.0000";"  0.0000";"  0.0000";"0";"589.3942"
"7am";"   0.0000";"   0.0000";"1444.8684";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1354.0426";"   0.0000";"2265.6006";"1269.7250";"1156.7789";"   0.0000";"1636.2442";"3035.5906";"   0.0000";"1875.6556";" 699.3029";"1066.9869";" 833.1907";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1126.8735"
"8am";"   0.0000";"   0.0000";"2068.4400";" 775.0461";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1623.1807";"   0.0000";"4879.1264";"2633.5849";"2084.1040";"1197.3957";"2041.7485";"5855.2609";" 644.3827";"2608.0988";"1210.6600";"1340.9233";"1548.1214";" 821.7382";"1072.5967";"   0.0000";"1088.6653";"   0.0000";"1003.1793";"   0.0000";"   0.0000";"1449.9131"
"9am";"   0.0000";"   0.0000";"2313.4236";" 996.3259";"   0.0000";"   0.0000";"1169.4600";"   0.0000";"1981.7562";"   0.0000";"5777.1073";"2980.8552";"2392.6306";"1197.3957";"2245.0323";"6629.1498";" 510.1716";"2672.9477";"1542.3561";"2028.9508";"1781.5302";" 835.4167";" 944.5814";"1025.7312";"1291.1464";"   0.0000";"1060.2699";"   0.0000";"   0.0000";"1975.1593"
"10am";"   0.0000";"   0.0000";"2486.6667";"1017.9144";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1896.4794";"   0.0000";"5989.9482";"3430.6607";"2130.9045";"1329.6927";"1890.1239";"7596.0876";" 614.9312";"2510.9730";"1707.1861";"1967.2638";"2058.5877";" 953.2646";"1016.7604";"1213.4180";"1194.3770";"   0.0000";"1003.1793";"   0.0000";"   0.0000";"2287.9248"
"11am";"   0.0000";"   0.0000";"2497.5396";"1206.8184";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1727.3743";"   0.0000";"5861.8912";"3420.1672";"2194.7307";"1201.7522";"1745.6236";"6517.9323";" 583.8057";"2414.7897";"1566.6647";"1560.4686";"2166.9504";" 705.9972";" 972.6274";"1041.9212";" 585.4853";" 542.4253";" 770.6412";"   0.0000";" 655.2298";"1645.6150"
"12am";"   0.0000";"   0.0000";"2237.0595";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1749.4031";"   0.0000";"5681.3230";"2584.4827";"2135.2512";" 997.8107";"1824.8831";"4995.2032";"   0.0000";"1917.7626";"1218.2419";"1688.5477";"1502.9110";" 686.7815";"   0.0000";"   0.0000";" 581.1012";"   0.0000";" 819.0485";"   0.0000";"   0.0000";"1364.2516"
"1pm";"   0.0000";"   0.0000";"2208.6597";" 751.5464";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1952.0193";"   0.0000";"6172.3501";"2529.4120";"2690.8135";"1509.5250";"1756.3317";"6206.9152";" 630.0497";"2253.3613";"1685.1438";"1562.4725";"1824.8631";" 857.9758";" 930.6860";"   0.0000";" 763.0148";" 539.8906";"   0.0000";"   0.0000";"   0.0000";"1569.3843"
"2pm";" 675.5217";"   0.0000";"2523.9340";"   0.0000";" 618.4838";"   0.0000";"   0.0000";"   0.0000";"1960.7260";"   0.0000";"6290.5526";"2750.0114";"3185.1773";"1294.8813";"1870.7705";"6652.7545";" 653.3703";"1354.8945";"1421.9742";"2020.6424";"1905.7517";" 980.7091";"1065.8655";" 903.2286";" 952.0643";" 612.8898";" 997.9674";"   0.0000";"1185.1753";"1776.9208"
"3pm";" 729.4694";" 844.8833";"2651.2827";" 814.8211";" 654.7264";"   0.0000";"1021.9443";"   0.0000";"1727.3566";"   0.0000";"5803.7125";"2861.6513";"3128.3458";"1363.4214";"1862.6210";"6696.7967";" 621.3700";"1461.6297";"1421.9742";"2238.9637";"2452.9136";"1231.4819";"1088.3886";" 820.1825";" 504.8926";" 552.1709";" 887.8667";"   0.0000";"1160.8927";"1473.6075"
"4pm";" 522.8210";"   0.0000";"1926.7437";" 770.2409";" 721.1388";"   0.0000";"1067.2911";"   0.0000";"1951.6024";"   0.0000";"4874.0785";"2296.6396";"3265.2618";"1129.7469";"1698.4178";"5649.9231";" 597.5891";"1138.8886";"1249.8620";"2082.2892";"1645.0191";"1236.5887";" 987.8222";" 590.8199";" 492.5126";"   0.0000";" 838.1480";"   0.0000";"1179.9742";"1277.2669"
"5pm";"   0.0000";"   0.0000";"1043.0491";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"2065.8550";"   0.0000";"3253.1186";"1401.1852";"2656.3091";"   0.0000";" 854.5747";"4930.9808";"   0.0000";"   0.0000";"   0.0000";"1247.8981";"1451.2561";" 756.5870";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1154.9121"
"6pm";"   0.0000";"   0.0000";" 646.6954";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 933.1398";"   0.0000";"2048.6357";" 957.7107";"1120.5384";"   0.0000";" 724.0218";"3032.6004";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1081.9002";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 901.2829"
"7pm";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1127.6347";"   0.0000";" 515.0698";"   0.0000";" 523.0227";" 649.0011";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000"
"8pm";"0";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"0";"  0.0000";"  0.0000";"902.5107";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000"
"9pm";"0";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"0";"  0.0000";"  0.0000";"764.9912";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"0";"  0.0000";"0";"  0.0000";"  0.0000";"  0.0000"
"10pm";"0";"0";" 0";" 0";" 0";" 0";" 0";"0";"0";"0";" 0";" 0";" 0";"0";" 0";" 0";"0";"0";" 0";" 0";"0";"0";" 0";" 0";"0";" 0";"0";" 0";" 0";" 0"
"11pm";"0";"0";" 0";" 0";" 0";" 0";"0";"0";"0";"0";" 0";" 0";" 0";"0";" 0";" 0";"0";"0";" 0";" 0";"0";"0";" 0";" 0";"0";" 0";"0";" 0";"0";" 0"
"12pm";"0";"0";" 0";" 0";"0";" 0";"0";"0";"0";"0";" 0";"0";" 0";"0";" 0";" 0";"0";" 0";"0";" 0";"0";"0";" 0";" 0";"0";" 0";"0";" 0";"0";" 0"
"1am";"0";"0";" 0";" 0";"0";" 0";"0";"0";"0";"0";" 0";"0";" 0";"0";" 0";" 0";" 0";" 0";"0";" 0";"0";"0";" 0";" 0";"0";" 0";"0";" 0";"0";" 0"
"2am";"0";"0";" 0";" 0";"0";" 0";"0";"0";"0";"0";" 0";"0";" 0";"0";" 0";" 0";" 0";" 0";"0";" 0";" 0";"0";" 0";" 0";"0";" 0";"0";" 0";"0";" 0"
"3am";"0";"0";" 0";" 0";"0";" 0";"0";"0";"0";"0";" 0";"0";" 0";"0";" 0";" 0";" 0";" 0";"0";" 0";" 0";"0";" 0";" 0";"0";" 0";"0";" 0";"0";" 0"
