"hour","mode1","mode2","mode3"
"4am",0.2085,0.3394,0.2207
"5am",0.2121,0.3397,0.2197
"6am",0.2347,0.3412,0.204
"7am",0.2835,0.3632,0.184
"8am",0.3385,0.3771,0.1565
"9am",0.3791,0.3874,0.151
"10am",0.3842,0.3898,0.1567
"11am",0.3834,0.3932,0.1467
"12am",0.3475,0.4005,0.1441
"1pm",0.3171,0.4071,0.171
"2pm",0.3199,0.4136,0.1708
"3pm",0.3226,0.4155,0.1767
"4pm",0.3123,0.4058,0.1783
"5pm",0.2983,0.398,0.1922
"6pm",0.2554,0.3809,0.2084
"7pm",0.2297,0.3671,0.2158
"8pm",0.22,0.3583,0.2197
"9pm",0.213,0.3513,0.2199
"10pm",0.2101,0.3482,0.2224
"11pm",0.209,0.3451,0.2238
"12pm",0.2117,0.345,0.2218
"1am",0.2113,0.3439,0.2212
"2am",0.2106,0.3425,0.2212
"3am",0.2102,0.3418,0.221
