"hour","resarea1","resarea2","resarea3"
"4am",0.658447188916034,0.575545108580938,0.691544724208903
"5am",0.659996875256022,0.576560597219223,0.69111155875528
"6am",0.663035842776447,0.577406342249206,0.687217745787324
"7am",0.680432341990705,0.588160493106769,0.681290795531415
"8am",0.712833462190229,0.614224541052751,0.690358418574444
"9am",0.72746727431983,0.632153421140977,0.70841953051056
"10am",0.736542280024712,0.644063862764132,0.713875265505459
"11am",0.732884390567953,0.642342588801547,0.72082094216112
"12am",0.723480157984162,0.635856617217541,0.726565347438228
"1pm",0.731671101907953,0.640094266279881,0.731247449015179
"2pm",0.735929912751825,0.645914883847288,0.732923489898245
"3pm",0.735241816810639,0.644599912263985,0.729863010326
"4pm",0.723930570409778,0.633505680053142,0.723205092032269
"5pm",0.697933753873964,0.603811493388419,0.705485132921362
"6pm",0.679292613677747,0.5873847686918,0.696590999631978
"7pm",0.666103182839952,0.57742695718903,0.688989966922762
"8pm",0.665679857135975,0.575405553752145,0.683823914160035
"9pm",0.66262755970993,0.574336651700661,0.683442106580157
"10pm",0.660609724362767,0.574256745638374,0.68790151704458
"11pm",0.659811553020256,0.576408867446504,0.692404331223193
"12pm",0.657954083007273,0.575276999322878,0.691772695179619
"1am",0.657796571719453,0.575006208724171,0.690782694451256
"2am",0.657434938190467,0.575164146496233,0.691313218591666
"3am",0.657550978572153,0.575428902353004,0.691921948129558
