"hour","cspmen1","cspmen2","cspmen3","cspmen4","cspmen5"
"4am",0.172,0.2528,0.1241,0.1365,0.3288
"5am",0.1729,0.2519,0.1246,0.1339,0.3259
"6am",0.1703,0.2509,0.1241,0.1318,0.3187
"7am",0.1707,0.235,0.1161,0.1311,0.3058
"8am",0.1689,0.2202,0.0971,0.1196,0.2849
"9am",0.1707,0.2146,0.096,0.1196,0.2613
"10am",0.1734,0.2155,0.0933,0.1199,0.2599
"11am",0.169,0.2209,0.0889,0.1221,0.2566
"12am",0.173,0.2213,0.0911,0.1238,0.255
"1pm",0.1705,0.2256,0.0842,0.1199,0.255
"2pm",0.1676,0.2314,0.0867,0.1147,0.2596
"3pm",0.1709,0.2394,0.0968,0.12,0.2639
"4pm",0.1687,0.2457,0.0981,0.1268,0.2751
"5pm",0.1708,0.2524,0.1051,0.1305,0.2985
"6pm",0.1648,0.2485,0.1052,0.128,0.3197
"7pm",0.1683,0.2543,0.1101,0.1314,0.3274
"8pm",0.1675,0.2563,0.1207,0.1321,0.3291
"9pm",0.1688,0.2569,0.1213,0.1345,0.3303
"10pm",0.1712,0.2559,0.1218,0.1348,0.3308
"11pm",0.1716,0.2529,0.1218,0.1355,0.3276
"12pm",0.171,0.2552,0.1237,0.1372,0.3279
"1am",0.1717,0.2557,0.1233,0.1362,0.3277
"2am",0.1721,0.2554,0.1236,0.1357,0.3276
"3am",0.1723,0.2559,0.1238,0.1359,0.3279
