"hour","rev1","rev2","rev3","rev4"
"4am",0.395195612643756,0.438402099198414,0.162158896777561,0.604967153867193
"5am",0.402730548994754,0.426114388984415,0.16216767527015,0.602488216587053
"6am",0.402860142308723,0.428273094929496,0.174073491393062,0.590516921602528
"7am",0.404360881225475,0.392445375845743,0.214478224955136,0.593592944770191
"8am",0.432915965498658,0.386234764742531,0.189188344133876,0.639276301901937
"9am",0.447312866273259,0.405289047415684,0.218945968471301,0.64543521269415
"10am",0.453038207995699,0.42476358241869,0.230407372527168,0.641642360906085
"11am",0.426543327810021,0.410617666852477,0.246178578492186,0.605284357953209
"12am",0.419184323160833,0.405093975842311,0.218686222341812,0.594813474334441
"1pm",0.440820908767187,0.422185372289126,0.189657639760639,0.617743853116054
"2pm",0.425450348310038,0.432841007387232,0.188260751136209,0.644655571178677
"3pm",0.434421946595919,0.479933537203028,0.206264351423181,0.647263859703699
"4pm",0.429551349470314,0.46879095710952,0.203515996336676,0.639852187875375
"5pm",0.415333176377536,0.44351313159401,0.165621497123721,0.648254097504211
"6pm",0.396273750801439,0.452245706307703,0.158138025054622,0.632886444210377
"7pm",0.403241453788778,0.435040574617911,0.159450853228839,0.612967122512083
"8pm",0.389506987483648,0.438762215283966,0.148762992856549,0.605501260486513
"9pm",0.392438274091083,0.442082184171247,0.132112433619817,0.604470427632667
"10pm",0.393903398548526,0.455834926498513,0.153200092873813,0.601673684275773
"11pm",0.389270951487654,0.446739940726929,0.159762436189246,0.598519826428405
"12pm",0.391709936703663,0.4464468202831,0.154473794476021,0.598152754084025
"1am",0.39147159858902,0.451823228399767,0.153810505435668,0.598709736433652
"2am",0.390528254441397,0.454522405323515,0.154052385234236,0.601217064704334
"3am",0.392522707883332,0.454220823043286,0.15192124049037,0.600605831089717
