"hour","dep1","dep2","dep3","dep4","dep5"
"4am",0.691544724208903,0.553103679515312,0.603011147971097,0.532564348812733,0.767858804049892
"5am",0.69111155875528,0.556811152842673,0.602362018128056,0.53255852469932,0.768425211418873
"6am",0.687217745787324,0.563422041021866,0.602778619461005,0.534051277758759,0.769805753697412
"7am",0.681290795531415,0.575346074630968,0.614637811898659,0.539767193782506,0.773360514604489
"8am",0.690358418574444,0.602803749122499,0.63309900411992,0.561544591126564,0.780515199381641
"9am",0.70841953051056,0.61908241827993,0.647042152584895,0.572156909773087,0.78069341182596
"10am",0.713875265505459,0.630441637889239,0.655227508760248,0.584919809832945,0.785853377882831
"11am",0.72082094216112,0.626388964876923,0.648658750142862,0.579614834269706,0.77996322664424
"12am",0.726565347438228,0.622874667688098,0.649831417881711,0.578098864620714,0.777139723997752
"1pm",0.731247449015179,0.631248296318043,0.665983595725414,0.585506946519604,0.782728354940959
"2pm",0.732923489898245,0.628929367885891,0.664466095452669,0.583602581280847,0.787056452540485
"3pm",0.729863010326,0.626852399681529,0.669451835226076,0.582390341781151,0.785884808836005
"4pm",0.723205092032269,0.630628550096795,0.652073762870529,0.571186787385495,0.784644473568928
"5pm",0.705485132921362,0.598317337021064,0.633076407182542,0.5586620322212,0.777492353495992
"6pm",0.696590999631978,0.572831314989361,0.623000776909481,0.551735286105827,0.773893315581025
"7pm",0.688989966922762,0.562351935145914,0.61360765956503,0.546319763388868,0.76832991157596
"8pm",0.683823914160035,0.554800570724932,0.612245569229295,0.543820175370226,0.769198031843162
"9pm",0.683442106580157,0.554406790135859,0.609693646835144,0.540371037530764,0.768788419323045
"10pm",0.68790151704458,0.552327249128295,0.607418609591433,0.537021883158103,0.767831469559286
"11pm",0.692404331223193,0.551090058707895,0.606048571120604,0.534409734702743,0.767071627936751
"12pm",0.691772695179619,0.548952556346306,0.603582640680034,0.533473524680158,0.766469760795326
"1am",0.690782694451256,0.549194673252021,0.603089620375113,0.533076053155744,0.766480814675208
"2am",0.691313218591666,0.548861346163244,0.603154210662436,0.532772106228349,0.766197532844022
"3am",0.691921948129558,0.548961576477905,0.603124584665091,0.532741252913322,0.766106823262021
