"hour","occ1","occ2","occ3","occ4","occ5"
"4am",0.0692,0.0921,0.1325,0.0837,0.1392
"5am",0.0727,0.0919,0.1343,0.0832,0.1408
"6am",0.0813,0.0945,0.136,0.0904,0.1449
"7am",0.0925,0.135,0.134,0.1114,0.1507
"8am",0.1304,0.1569,0.1485,0.1488,0.1703
"9am",0.1526,0.1634,0.1609,0.1724,0.182
"10am",0.151,0.1692,0.1645,0.1655,0.1852
"11am",0.1492,0.166,0.1661,0.1686,0.1812
"12am",0.153,0.1643,0.1639,0.1665,0.1817
"1pm",0.1507,0.1586,0.1767,0.1651,0.1794
"2pm",0.1415,0.1608,0.1778,0.1574,0.1763
"3pm",0.1444,0.1565,0.1846,0.1585,0.1768
"4pm",0.1354,0.1659,0.1813,0.1499,0.1761
"5pm",0.1123,0.1447,0.1596,0.1304,0.1685
"6pm",0.0867,0.1189,0.1603,0.1084,0.1518
"7pm",0.0751,0.0997,0.1574,0.0954,0.1429
"8pm",0.0722,0.0968,0.155,0.0892,0.1386
"9pm",0.0716,0.0972,0.1476,0.084,0.1402
"10pm",0.0697,0.0952,0.143,0.0839,0.1397
"11pm",0.0685,0.0932,0.1419,0.084,0.1342
"12pm",0.0684,0.0925,0.1365,0.0814,0.1329
"1am",0.0685,0.0939,0.1385,0.0806,0.1325
"2am",0.0689,0.0935,0.1358,0.0808,0.1321
"3am",0.0689,0.093,0.135,0.0806,0.1321
