"hour","act1","act2","act3","act4","act5"
"4am",0.3037,0.3885,0.9082,0.4624,0
"5am",0.2535,0.2931,0.851,0.452,0
"6am",0.227,0.2382,0.7443,0.9077,0.3961
"7am",0.174,0.1865,0.3424,0.8268,0.3178
"8am",0.1848,0.1999,0.2072,0.4112,0.2364
"9am",0.2174,0.2306,0.2045,0.2831,0.1643
"10am",0.2174,0.2265,0.2045,0.2471,0.1698
"11am",0.229,0.2252,0.1873,0.2416,0.1688
"12am",0.2609,0.2123,0.2177,0.3125,0.1937
"1pm",0.2508,0.2168,0.2152,0.3122,0.1933
"2pm",0.2367,0.2203,0.2079,0.2887,0.166
"3pm",0.2391,0.2337,0.2233,0.2563,0.1646
"4pm",0.2517,0.2621,0.2521,0.2385,0.1385
"5pm",0.2684,0.3001,0.3958,0.2267,0.1597
"6pm",0.2462,0.2917,0.5082,0.237,0.2012
"7pm",0.2286,0.282,0.6598,0.3538,0.2253
"8pm",0.2522,0.2964,0.7907,0.6502,0.2575
"9pm",0.2592,0.307,0.8706,0.8221,0.2717
"10pm",0.2783,0.3211,0.9133,0.9207,0.3041
"11pm",0.3033,0.3307,0.9655,0.944,0.356
"12pm",0.3014,0.3214,0.9653,0.9611,0.3806
"1am",0.2984,0.3348,0.9648,0.9745,0.3681
"2am",0.2822,0.3173,0.9649,0.9745,0.3563
"3am",0.2845,0.3193,0.9648,0.9746,0.3629
