"hour","cs1","cs2","cs3","cs4","cs5"
"4am",0.1512,0.2248,0.1301,0.0768,0.274
"5am",0.1532,0.2239,0.1309,0.0755,0.2715
"6am",0.1562,0.2236,0.1299,0.0773,0.2653
"7am",0.1619,0.2099,0.1207,0.0787,0.2608
"8am",0.1745,0.2108,0.1013,0.081,0.2349
"9am",0.184,0.2121,0.1015,0.0871,0.2301
"10am",0.1855,0.2124,0.0971,0.0857,0.2275
"11am",0.1789,0.2219,0.0932,0.0839,0.2269
"12am",0.1838,0.224,0.0999,0.0864,0.2289
"1pm",0.1814,0.227,0.0973,0.0858,0.2271
"2pm",0.1825,0.2309,0.092,0.0887,0.2284
"3pm",0.1835,0.2428,0.0951,0.0797,0.2336
"4pm",0.1786,0.241,0.1015,0.0869,0.2498
"5pm",0.1723,0.2396,0.111,0.0821,0.2652
"6pm",0.1585,0.2318,0.1126,0.0801,0.2709
"7pm",0.1519,0.2344,0.121,0.0848,0.2758
"8pm",0.1488,0.2356,0.1297,0.0784,0.2776
"9pm",0.1522,0.2306,0.1287,0.0784,0.2761
"10pm",0.1533,0.2304,0.1305,0.0782,0.2763
"11pm",0.1489,0.2288,0.1287,0.0786,0.2735
"12pm",0.1478,0.2307,0.1306,0.0771,0.2732
"1am",0.1476,0.2308,0.1294,0.0771,0.2736
"2am",0.1475,0.2306,0.1288,0.0774,0.2732
"3am",0.147,0.2307,0.129,0.0775,0.2737
