"hour","resarea1","resarea2","resarea3"
"4am",0.9735,0.9789,0.9846
"5am",0.9688,0.9736,0.9794
"6am",0.9418,0.9516,0.9651
"7am",0.8649,0.889,0.9224
"8am",0.7575,0.7444,0.7891
"9am",0.7098,0.6521,0.6938
"10am",0.6962,0.6268,0.6719
"11am",0.6949,0.6208,0.6647
"12am",0.7016,0.6295,0.6668
"1pm",0.6927,0.6179,0.6579
"2pm",0.6924,0.6177,0.6608
"3pm",0.7071,0.6321,0.6738
"4pm",0.7535,0.6791,0.7098
"5pm",0.8354,0.7732,0.7871
"6pm",0.9053,0.865,0.8722
"7pm",0.9407,0.9172,0.9267
"8pm",0.9491,0.9351,0.9468
"9pm",0.9573,0.9484,0.9571
"10pm",0.9654,0.9636,0.9698
"11pm",0.9729,0.9734,0.9808
"12pm",0.9783,0.9804,0.987
"1am",0.9796,0.9829,0.9897
"2am",0.9804,0.9843,0.9906
"3am",0.9804,0.9844,0.9906
