"hour","sex1","sex2"
"4am",0.0157448362816313,0.0157448362816312
"5am",0.0148943696531541,0.0148943696531538
"6am",0.0794506179314532,0.0794506179314533
"7am",0.077059612685464,0.0770596126854637
"8am",0.0660491542124249,0.066049154212425
"9am",0.0197631639243416,0.0197631639243417
"10am",0.0315884852365966,0.0315884852365964
"11am",0.0395855432372935,0.0395855432372936
"12am",0.0411120850913642,0.0411120850913642
"1pm",0.0660719056857911,0.0660719056857911
"2pm",0.0727011786540476,0.0727011786540473
"3pm",0.0779285062917014,0.0779285062917013
"4pm",0.0941368112542951,0.0941368112542952
"5pm",0.0144449716638682,0.0144449716638682
"6pm",0.0420663232405715,0.0420663232405713
"7pm",0.103912989682129,0.103912989682129
"8pm",0.0585321509940521,0.0585321509940524
"9pm",0.109618801691332,0.109618801691333
"10pm",0.147828599008228,0.147828599008228
"11pm",0.154585417295136,0.154585417295136
"12pm",0.135841772524998,0.135841772524997
"1am",0.127126336333331,0.12712633633333
"2am",0.128931450032026,0.128931450032026
"3am",0.114630961560394,0.114630961560394
