"hour","sex1","sex2"
"4am",0.0326,0.0326
"5am",0.034,0.034
"6am",0.0382,0.0382
"7am",0.0489,0.0489
"8am",0.0579,0.0579
"9am",0.0554,0.0554
"10am",0.0541,0.0541
"11am",0.0573,0.0573
"12am",0.0558,0.0558
"1pm",0.0585,0.0585
"2pm",0.0569,0.0569
"3pm",0.0578,0.0578
"4pm",0.0559,0.0559
"5pm",0.0531,0.0531
"6pm",0.049,0.049
"7pm",0.0379,0.0379
"8pm",0.0365,0.0365
"9pm",0.0354,0.0354
"10pm",0.0349,0.0349
"11pm",0.0358,0.0358
"12pm",0.0338,0.0338
"1am",0.0328,0.0328
"2am",0.0328,0.0328
"3am",0.0332,0.0332
