"hour","age1","age2","age3","age4"
"4am",0.0947,0.1011,0.0742,0.0987
"5am",0.0973,0.1023,0.0751,0.0982
"6am",0.1017,0.1107,0.0752,0.0996
"7am",0.1124,0.1012,0.0734,0.1125
"8am",0.1356,0.105,0.0793,0.1465
"9am",0.1358,0.1023,0.0723,0.1655
"10am",0.1412,0.1025,0.0725,0.1602
"11am",0.1303,0.1028,0.0764,0.1624
"12am",0.127,0.1053,0.0791,0.1559
"1pm",0.129,0.104,0.0781,0.1548
"2pm",0.1333,0.1029,0.0793,0.1501
"3pm",0.1314,0.101,0.0805,0.1523
"4pm",0.13,0.1105,0.0796,0.1481
"5pm",0.1121,0.1091,0.0755,0.1342
"6pm",0.0995,0.1072,0.0659,0.1185
"7pm",0.0893,0.1006,0.0612,0.1092
"8pm",0.0884,0.0957,0.0647,0.1046
"9pm",0.0897,0.0978,0.0641,0.1004
"10pm",0.0882,0.0952,0.0654,0.1021
"11pm",0.0913,0.096,0.0678,0.0995
"12pm",0.0912,0.0991,0.0706,0.0982
"1am",0.0912,0.0994,0.0715,0.0982
"2am",0.0894,0.1011,0.0719,0.0985
"3am",0.0905,0.101,0.0726,0.0982
