"hour","cleduc1","cleduc2","cleduc3","cleduc4"
"4am",0.2255,0.2167,0.0965,0.3106
"5am",0.2241,0.2153,0.0973,0.3072
"6am",0.2201,0.2109,0.0998,0.3012
"7am",0.2207,0.1979,0.0961,0.2969
"8am",0.2162,0.1833,0.0883,0.2627
"9am",0.2285,0.188,0.0805,0.2545
"10am",0.2289,0.1846,0.0733,0.2537
"11am",0.234,0.1811,0.0743,0.2553
"12am",0.2382,0.1856,0.0779,0.2559
"1pm",0.2349,0.1854,0.0788,0.2549
"2pm",0.2328,0.1897,0.0742,0.2561
"3pm",0.2335,0.2003,0.0744,0.2631
"4pm",0.2363,0.2074,0.0751,0.2749
"5pm",0.2329,0.2142,0.0791,0.292
"6pm",0.2251,0.2131,0.0852,0.304
"7pm",0.2278,0.2199,0.0904,0.3118
"8pm",0.2262,0.2248,0.0954,0.3187
"9pm",0.2282,0.2244,0.0974,0.3184
"10pm",0.2273,0.221,0.0967,0.3161
"11pm",0.227,0.2202,0.0975,0.3151
"12pm",0.2277,0.2193,0.097,0.3155
"1am",0.2273,0.2203,0.0988,0.3161
"2am",0.2285,0.2202,0.0989,0.3154
"3am",0.2284,0.2205,0.0985,0.3151
