"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031"
"4pm";" 411.10143";" 813.71481";" 606.97176";" 315.26651";" 764.47187";" 216.96341";" 115.15341";" 806.08599";" 646.66318";" 696.30503";" 434.38708";"1488.55081";" 769.55819";" 332.77520";" 173.26581";" 184.10141";"  94.56865";" 556.10452";" 404.57538";" 841.82865";" 651.38916";" 460.69959";" 240.32967";" 375.83577";" 461.54745";" 360.60436";" 145.00364";" 206.22771";" 154.47237";"1005.67958";" 833.56058"
"5pm";" 377.1775";" 663.2700";" 799.5100";" 295.2654";" 882.5506";" 279.9458";" 142.5558";" 862.0385";" 688.5698";" 652.4332";" 367.6432";"1568.3757";" 786.3152";" 409.1457";" 159.9153";" 102.3415";" 121.7725";" 585.3141";" 429.9786";" 757.5168";" 679.0142";" 318.4967";" 288.0536";" 300.9079";" 461.5475";" 360.6044";" 271.4980";" 219.6534";" 154.4724";" 931.5796";" 713.3365"
"6pm";" 258.7635";" 663.2700";" 860.0850";" 326.4010";" 834.6186";" 328.1532";" 142.5558";" 906.6186";" 713.8696";" 730.3750";" 402.7925";"1492.9587";" 816.9933";" 294.1479";" 173.2658";" 110.0294";" 121.7725";" 606.4126";" 379.8790";" 420.3053";" 679.0142";" 661.1331";" 240.3297";" 404.6123";" 633.0519";" 360.6044";" 271.4980";" 219.6534";" 154.4724";" 931.5796";" 713.3365"
"7pm";" 317.7809";" 779.5192";" 726.7250";" 351.7773";" 834.6186";" 328.1532";" 142.5558";" 929.1905";" 646.6632";" 730.3750";" 402.7925";"1543.2040";" 766.7480";" 294.1479";" 204.8604";" 142.3803";" 121.7725";" 606.4126";" 382.6069";" 353.6698";" 679.0142";" 600.1014";" 240.3297";" 404.6123";" 633.0519";" 360.6044";" 343.2333";" 219.6534";" 154.4724";" 931.5796";" 833.5606"
"8pm";" 317.7809";" 779.5192";" 703.2821";" 351.7773";" 834.6186";" 328.1532";" 142.5558";" 929.1905";" 646.6632";" 730.3750";" 402.7925";"1574.7491";" 766.7480";" 294.1479";" 204.8604";" 165.8233";" 121.7725";" 606.4126";" 382.6069";" 322.1246";" 679.0142";" 661.1331";" 240.3297";" 404.6123";" 633.0519";" 360.6044";" 394.4888";" 219.6534";" 154.4724";" 931.5796";" 833.5606"
"9pm";" 292.4047";" 779.5192";" 703.2821";" 377.1535";" 834.6186";" 328.1532";" 142.5558";" 929.1905";" 646.6632";" 730.3750";" 402.7925";"1574.7491";" 766.7480";" 294.1479";" 204.8604";" 165.8233";" 121.7725";" 606.4126";" 382.6069";" 322.1246";" 679.0142";" 730.6325";" 240.3297";" 404.6123";" 633.0519";" 360.6044";" 394.4888";" 219.6534";" 154.4724";" 931.5796";" 833.5606"
"10pm";" 233.3872";" 779.5192";" 762.2995";" 377.1535";" 834.6186";" 328.1532";" 142.5558";" 929.1905";" 646.6632";" 730.3750";" 402.7925";"1574.7491";" 766.7480";" 294.1479";" 204.8604";" 165.8233";" 121.7725";" 606.4126";" 382.6069";" 322.1246";" 679.0142";" 730.6325";" 240.3297";" 404.6123";" 633.0519";" 360.6044";" 394.4888";" 219.6534";" 154.4724";" 931.5796";" 833.5606"
"11pm";" 233.3872";" 779.5192";" 762.2995";" 377.1535";" 834.6186";" 328.1532";" 142.5558";" 929.1905";" 646.6632";" 730.3750";" 402.7925";"1574.7491";" 766.7480";" 294.1479";" 204.8604";" 165.8233";" 121.7725";" 606.4126";" 382.6069";" 322.1246";" 679.0142";" 730.6325";" 240.3297";" 404.6123";" 633.0519";" 360.6044";" 394.4888";" 219.6534";" 154.4724";" 931.5796";" 833.5606"
"12pm";" 233.3872";" 779.5192";" 762.2995";" 377.1535";" 834.6186";" 328.1532";" 142.5558";" 929.1905";" 646.6632";" 730.3750";" 402.7925";"1574.7491";" 766.7480";" 294.1479";" 204.8604";" 165.8233";" 121.7725";" 606.4126";" 382.6069";" 322.1246";" 679.0142";" 730.6325";" 240.3297";" 404.6123";" 633.0519";" 360.6044";" 394.4888";" 219.6534";" 154.4724";" 931.5796";" 833.5606"
"1am";" 233.3872";" 779.5192";" 762.2995";" 377.1535";" 834.6186";" 328.1532";" 142.5558";" 929.1905";" 646.6632";" 730.3750";" 402.7925";"1574.7491";" 766.7480";" 294.1479";" 204.8604";" 165.8233";" 121.7725";" 606.4126";" 382.6069";" 322.1246";" 679.0142";" 730.6325";" 240.3297";" 404.6123";" 633.0519";" 360.6044";" 394.4888";" 219.6534";" 154.4724";" 931.5796";" 833.5606"
"2am";" 233.3872";" 779.5192";" 762.2995";" 377.1535";" 834.6186";" 328.1532";" 142.5558";" 929.1905";" 646.6632";" 730.3750";" 402.7925";"1574.7491";" 766.7480";" 294.1479";" 204.8604";" 165.8233";" 121.7725";" 606.4126";" 382.6069";" 322.1246";" 679.0142";" 730.6325";" 240.3297";" 404.6123";" 633.0519";" 360.6044";" 394.4888";" 219.6534";" 154.4724";" 931.5796";" 833.5606"
"3am";" 233.3872";" 779.5192";" 762.2995";" 377.1535";" 834.6186";" 328.1532";" 142.5558";" 929.1905";" 646.6632";" 730.3750";" 402.7925";"1574.7491";" 766.7480";" 294.1479";" 204.8604";" 165.8233";" 121.7725";" 606.4126";" 382.6069";" 322.1246";" 679.0142";" 730.6325";" 240.3297";" 404.6123";" 633.0519";" 360.6044";" 394.4888";" 219.6534";" 154.4724";" 931.5796";" 833.5606"
