"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021";"022";"023";"024";"025";"026";"027";"028";"029";"030";"031";"032";"033";"034";"035";"036";"037";"038";"039";"040";"041";"042";"043";"044";"045";"046";"047";"048";"049";"050";"051";"052";"053";"054";"055";"056";"057";"058";"059";"060";"061";"062";"063";"064";"065";"066"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"11427.0597";"11427.0597";"11427.0597";"11427.0597";"11427.0597";"11427.0597";"11427.0597";"11427.0597";"11427.0597";"11427.0597";"11427.0597";"11427.0597";"11427.0597";"11427.0597";"11427.0597";"11427.0597";"11427.0597";"11427.0597";"11427.0597";"11427.0597";"11427.0597";"11427.0597";"11427.0597";"11427.0597";"11427.0597";"11427.0597";"11427.0597";"11427.0597";"11427.0597";"11427.0597";"11427.0597";"11427.0597";"11427.0597";"11427.0597";"11427.0597";"11427.0597";"11427.0597";"11427.0597";"11427.0597";"11427.0597";"11427.0597";"11427.0597";"11427.0597";"11427.0597";"11427.0597";"11427.0597";"11427.0597";"11427.0597";"11427.0597";"11427.0597";"11427.0597";"11427.0597";"11427.0597";"11427.0597";"11427.0597";"11427.0597";"11427.0597";"11427.0597";"11427.0597";"11427.0597";"11427.0597";"11427.0597";"11427.0597";"11427.0597";"11427.0597";"11427.0597"
"4am";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";"0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";"0";" 0";"0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";"0";" 0";"0";" 0";"0";"0";" 0";"0";" 0";" 0";"0";" 0";"0";" 0"
"5am";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";"0";" 0";"0";" 0";"0";"0";" 0";"0";" 0";" 0";"0";" 0";" 0";" 0"
"6am";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"1326.596";"1134.470";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";" 924.731";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"0";"   0.000";"0";"0";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000"
"7am";"   0.0000";"1770.8270";"1161.0750";"1450.9144";"   0.0000";"1610.6225";" 851.7878";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1326.3275";"   0.0000";"1242.8493";"   0.0000";"   0.0000";"1587.7046";"   0.0000";"2021.6169";"2281.5090";"2146.7013";"   0.0000";"1055.8549";"1786.6618";"2692.8024";"3084.9473";"   0.0000";"1556.8565";"   0.0000";"   0.0000";"1298.5279";"   0.0000";"1869.3505";"2152.7547";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1092.2929";"   0.0000";"   0.0000";"1854.0770";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1412.9746";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"0";"   0.0000";"   0.0000";"1037.4890"
"8am";"1430.9839";"3539.5859";"2730.0257";"2833.5210";"1265.9736";"2516.2648";"1254.4283";" 861.7043";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"1218.7806";"   0.0000";"   0.0000";"1931.5216";"1417.7458";"1632.0747";"   0.0000";"1002.1381";"2930.4012";"   0.0000";"2651.6205";"3094.2044";"2949.5761";"   0.0000";"1517.5073";"4288.0719";"3731.1082";"3876.8008";"   0.0000";"2019.2114";"   0.0000";"   0.0000";"1710.7292";"   0.0000";"2377.6303";"3247.4172";"   0.0000";"   0.0000";"1358.0637";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"2365.8655";" 993.2890";"   0.0000";"2372.6108";"1149.9127";"   0.0000";"   0.0000";"   0.0000";"3212.2103";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"0";"   0.0000";"   0.0000";"1378.5224"
"9am";"2248.085";"4864.663";"3040.320";"3856.078";"1403.559";"2834.722";"1785.195";"1272.358";"1183.603";"   0.000";"   0.000";"   0.000";"1400.137";"   0.000";"   0.000";"1990.272";"1778.834";"1596.551";"   0.000";"1493.716";"3643.682";"   0.000";"3166.765";"3815.694";"3144.053";"   0.000";"1459.080";"4611.309";"3934.728";"5059.601";"   0.000";"2247.096";"1371.631";"   0.000";"1919.285";"   0.000";"2305.422";"3709.746";"   0.000";"   0.000";"1660.801";"   0.000";"   0.000";"   0.000";"   0.000";"3070.377";"1252.941";"   0.000";"2678.097";"1648.939";"   0.000";"   0.000";"   0.000";"3190.925";"   0.000";"1303.598";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"1441.586"
"10am";"2361.5022";"5423.9302";"2825.9881";"4537.9134";"1602.9757";"2911.7272";"1651.3732";"1734.3416";"1117.5262";"   0.0000";"   0.0000";"   0.0000";"1391.6020";"   0.0000";" 833.4578";"2021.6302";"2760.2672";"1951.4838";"   0.0000";"1531.5234";"3955.0093";"   0.0000";"3440.8541";"4052.3289";"3383.8595";"   0.0000";"1355.9403";"5016.9748";"4129.0915";"5240.1825";"   0.0000";"2589.3570";"1240.2717";"   0.0000";"1706.5415";"   0.0000";"2379.3817";"4695.3672";"   0.0000";"   0.0000";"2066.4069";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"2990.5372";"1377.4266";"   0.0000";"3795.5554";"1218.5171";"   0.0000";"   0.0000";"   0.0000";"2832.0291";"   0.0000";"1226.3898";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";" 705.0069";"0";"   0.0000";"   0.0000";"1504.6496"
"11am";"1817.0424";"4899.1883";"2663.9188";"3710.4283";"1115.8881";"2420.1854";"1568.6898";"1221.0032";"1272.3583";"   0.0000";"   0.0000";"   0.0000";"1394.6791";" 835.6480";"   0.0000";"1846.8935";"2166.1872";"1758.3738";"   0.0000";"1151.9135";"3304.3245";"   0.0000";"3136.4928";"4120.2942";"2986.9663";"   0.0000";" 951.7066";"4953.4228";"3535.8471";"5307.7266";"   0.0000";"2581.1714";"1266.5534";"1224.7239";"1874.4685";" 892.0418";"2813.9176";"4434.4750";"   0.0000";"   0.0000";"1471.7684";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"3122.7508";" 993.5344";"   0.0000";"3311.5751";"1210.5957";"   0.0000";"   0.0000";"   0.0000";"2881.4841";"   0.0000";"1071.6192";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"   0.0000";"0";"   0.0000";"   0.0000";"1460.7739"
