"hour","age1","age2","age3","age4"
"4am",0.148,0.1377,0.1257,0.0872
"5am",0.1447,0.1364,0.1203,0.0815
"6am",0.143,0.1353,0.1119,0.0796
"7am",0.295,0.1541,0.1091,0.0733
"8am",0.3094,0.2313,0.1195,0.1334
"9am",0.3118,0.1778,0.1067,0.1324
"10am",0.2589,0.1856,0.1112,0.1504
"11am",0.2808,0.212,0.0766,0.1316
"12am",0.289,0.2036,0.1052,0.1038
"1pm",0.2673,0.1878,0.0728,0.1348
"2pm",0.27,0.1615,0.1147,0.1441
"3pm",0.2092,0.1679,0.1107,0.1359
"4pm",0.2197,0.2149,0.1237,0.1482
"5pm",0.192,0.1665,0.1011,0.0839
"6pm",0.1515,0.1613,0.0718,0.0826
"7pm",0.1567,0.1755,0.0932,0.0792
"8pm",0.1609,0.156,0.0968,0.0832
"9pm",0.1618,0.1356,0.1097,0.0834
"10pm",0.1488,0.1316,0.1157,0.0811
"11pm",0.1506,0.1406,0.1169,0.0851
"12pm",0.1484,0.1473,0.1191,0.0893
"1am",0.1512,0.1471,0.124,0.093
"2am",0.1514,0.1473,0.1243,0.0936
"3am",0.1595,0.1574,0.1284,0.0878
