"hour","occ1","occ2","occ3","occ4","occ5"
"4am",0.1093,0.153,0.289,0.0748,0.1251
"5am",0.1089,0.1502,0.2984,0.0751,0.1275
"6am",0.1068,0.1454,0.306,0.0683,0.1284
"7am",0.0745,0.3338,0.3338,0.0869,0.1254
"8am",0.104,0.3338,0.2722,0.1587,0.1623
"9am",0.1063,0.342,0.3058,0.1589,0.2053
"10am",0.1077,0.3131,0.3857,0.1525,0.1683
"11am",0.0888,0.299,0.2797,0.1428,0.1778
"12am",0.0803,0.3377,0.3073,0.1072,0.1622
"1pm",0.0903,0.3398,0.2983,0.1452,0.1697
"2pm",0.0914,0.3085,0.1948,0.1424,0.1789
"3pm",0.0841,0.2728,0.1899,0.1395,0.1678
"4pm",0.1241,0.2751,0.2175,0.1469,0.1241
"5pm",0.0862,0.2339,0.2422,0.0881,0.1367
"6pm",0.0805,0.1249,0.3709,0.0656,0.1395
"7pm",0.0801,0.1469,0.3597,0.073,0.1248
"8pm",0.081,0.1663,0.367,0.0761,0.1359
"9pm",0.0889,0.1538,0.3686,0.0817,0.127
"10pm",0.0962,0.1429,0.3587,0.0796,0.1232
"11pm",0.0957,0.1434,0.359,0.0782,0.1304
"12pm",0.0997,0.1433,0.3606,0.0772,0.1326
"1am",0.1003,0.146,0.3578,0.0826,0.1307
"2am",0.1002,0.1463,0.3572,0.0831,0.1307
"3am",0.108,0.1452,0.275,0.0767,0.1252
