"hour","occ1","occ2","occ3","occ4","occ5"
"4am",0.223944740139404,0.0289318707186487,-0.0643275272845448,0.066844407760306,0.163845415474023
"5am",0.169934629840935,0.00680611095250524,-0.0651004479430661,0.0340213965306732,0.174091162475388
"6am",0.198851326926319,-0.0254762989508797,-0.0623619941554325,0.0480355806560593,0.197816752308614
"7am",0.158777123467469,0.154554892409078,-0.0478647505946121,-0.0116106129951616,0.242276408558691
"8am",-0.110667868500941,-0.0343274377776245,-0.0355194122257622,0.171017036156726,0.269288529708213
"9am",0.0748003491009727,-0.0480840775987866,0.26033257980019,0.164352882616131,0.28592737932895
"10am",0.0175236948719366,0.0351086627772346,-0.161158600408658,0.195214138373693,0.194369640772789
"11am",0.0982100623107366,0.0920404174395925,0.131435994340012,0.175123416042367,0.222535899048403
"12am",-0.100338096874847,0.0969959156819286,-0.0275917897005299,0.00191608704489432,0.154057377334159
"1pm",-0.0247780026764667,-0.0179811274860165,-0.0083575125401144,0.132861287787792,0.141085016802251
"2pm",-0.0661155791635404,-0.173436558388615,-0.241607698106777,0.0932751518367953,0.11657639574703
"3pm",-0.221483643493231,-0.0976726134259142,-0.212794154523073,0.0745699482216114,0.19366219261044
"4pm",-0.0441181626008501,-0.127490463768429,-0.0388868709332087,0.104812454530859,0.142173187859008
"5pm",0.215892287676199,0.127025898203055,0.0521395087626955,0.0289734763783471,0.224126111449222
"6pm",-0.0114609580296792,-0.0477893566902317,-0.0674297444423908,-0.15417558719815,0.181806076689879
"7pm",0.00495931880952236,-0.0305802453823532,-0.0971928377725503,-0.206748503953045,0.120682289943124
"8pm",0.111828512394222,-0.0247659656897931,-0.0846839271921227,-0.145509755576096,0.184155285232133
"9pm",0.0855266412878432,0.00641706064263782,-0.104031485415315,-0.155265364426876,0.125835591355061
"10pm",0.132477614066379,0.108432743155234,-0.109234107861539,-0.128470846275266,0.0960235250148896
"11pm",0.177203325303304,0.123628772301569,-0.117777561923251,-0.0631345609629257,0.121454812202461
"12pm",0.176787688811346,0.11686811459138,-0.118105650247746,-0.0340475993938828,0.122413854951671
"1am",0.126289736834609,0.135546201388577,-0.0654395727182642,-0.0430630291244325,0.10831050573995
"2am",0.124478770227187,0.135178881023175,-0.0661907474710543,-0.0499933957400656,0.106983143678021
"3am",0.162687149550667,0.103374590300469,-0.0757940965656444,-0.0691323562724675,0.137227526456914
