"hour","cs1","cs2","cs3","cs4","cs5"
"4am",0.1686,0.2415,0.1117,0.1302,0.1281
"5am",0.1706,0.2394,0.1188,0.1433,0.1189
"6am",0.17,0.2451,0.1239,0.14,0.1307
"7am",0.1519,0.2558,0.1123,0.1512,0.128
"8am",0.1899,0.3091,0.0801,0.1374,0.1942
"9am",0.2106,0.3021,0.0726,0.1386,0.1931
"10am",0.1994,0.3083,0.0782,0.1421,0.1929
"11am",0.1921,0.2869,0.0791,0.1487,0.1897
"12am",0.1671,0.2447,0.1065,0.1618,0.1474
"1pm",0.1754,0.2913,0.0874,0.1414,0.1888
"2pm",0.1577,0.2991,0.0837,0.1113,0.1626
"3pm",0.1759,0.27,0.0828,0.1374,0.143
"4pm",0.1657,0.2787,0.0761,0.143,0.1482
"5pm",0.1549,0.2798,0.0783,0.1286,0.1227
"6pm",0.1475,0.263,0.1346,0.1354,0.2025
"7pm",0.154,0.2423,0.1074,0.1448,0.146
"8pm",0.1687,0.2448,0.0968,0.1305,0.1286
"9pm",0.1727,0.2431,0.1104,0.1546,0.1386
"10pm",0.1738,0.2509,0.1016,0.1363,0.1269
"11pm",0.1717,0.2467,0.102,0.1358,0.1309
"12pm",0.1723,0.2471,0.0989,0.1343,0.1268
"1am",0.1694,0.2471,0.1046,0.1335,0.1309
"2am",0.1689,0.2469,0.1053,0.1321,0.1295
"3am",0.1707,0.2517,0.1064,0.1321,0.1237
