"hour","sex1","sex2"
"4am",0.0751,0.0751
"5am",0.0734,0.0734
"6am",0.074,0.074
"7am",0.1023,0.1023
"8am",0.0897,0.0897
"9am",0.0881,0.0881
"10am",0.0833,0.0833
"11am",0.1095,0.1095
"12am",0.1052,0.1052
"1pm",0.0938,0.0938
"2pm",0.0953,0.0953
"3pm",0.0801,0.0801
"4pm",0.0951,0.0951
"5pm",0.083,0.083
"6pm",0.0929,0.0929
"7pm",0.0753,0.0753
"8pm",0.081,0.081
"9pm",0.0844,0.0844
"10pm",0.0829,0.0829
"11pm",0.0897,0.0897
"12pm",0.0884,0.0884
"1am",0.0851,0.0851
"2am",0.0851,0.0851
"3am",0.0745,0.0745
