"hour","act1","act2","act3","act4","act5"
"4am",0.5669,0.5907,0.9339,0,0
"5am",0.3406,0.3487,0.9348,0,0
"6am",0.282,0.2768,0.9521,0.6714,0
"7am",0.2915,0.1889,0.5763,0.5198,0.5188
"8am",0.2612,0.196,0.4773,0.4958,0.2491
"9am",0.2229,0.1796,0.46,0.4614,0.1658
"10am",0.2466,0.1821,0.4646,0.4636,0.2053
"11am",0.2413,0.16,0.4654,0.5237,0.2803
"12am",0.2891,0.2675,0.5017,0.5982,0.2815
"1pm",0.2662,0.2141,0.4365,0.6883,0.2084
"2pm",0.2345,0.1945,0.433,0.4744,0.2702
"3pm",0.2344,0.223,0.4319,0.4032,0.1939
"4pm",0.2148,0.2131,0.4153,0.4613,0.188
"5pm",0.2155,0.2125,0.5044,0.4175,0.2303
"6pm",0.2144,0.2599,0.6194,0.5051,0.2763
"7pm",0.2557,0.3007,0.764,0.6178,0.3053
"8pm",0.2785,0.5348,0.7627,0.7343,0.2952
"9pm",0.3121,0.6658,0.7684,0.8156,0.3276
"10pm",0.4039,0.694,0.7685,0.9172,0.4008
"11pm",0.48,0.7324,0.4635,0,0
"12pm",0.6077,0.7325,0.6005,0,0
"1am",0.6359,0.7731,0.6371,0,0
"2am",0.6359,0.7728,0.6372,0,0
"3am",0.5287,0.75,0.7336,0,0
