"hour","mode1","mode2","mode3"
"4am",0.3786,0.2505,0.2681
"5am",0.3838,0.25,0.266
"6am",0.388,0.2497,0.2583
"7am",0.3513,0.2247,0.2141
"8am",0.4283,0.2413,0.2102
"9am",0.4234,0.2283,0.2011
"10am",0.4394,0.2697,0.2395
"11am",0.4878,0.269,0.2493
"12am",0.4314,0.3282,0.3144
"1pm",0.4016,0.2997,0.283
"2pm",0.4054,0.3012,0.2993
"3pm",0.4047,0.2939,0.2833
"4pm",0.3343,0.2882,0.2797
"5pm",0.367,0.3101,0.324
"6pm",0.3687,0.2866,0.2966
"7pm",0.3858,0.2616,0.2733
"8pm",0.3548,0.2442,0.2585
"9pm",0.3793,0.2468,0.2644
"10pm",0.3758,0.2437,0.264
"11pm",0.3712,0.2505,0.2723
"12pm",0.3733,0.2543,0.2749
"1am",0.3742,0.2542,0.2757
"2am",0.3743,0.2541,0.275
"3am",0.3732,0.2463,0.2685
