"hour","resarea1","resarea2","resarea3"
"4am",0.992,0.9878,0.9873
"5am",0.9822,0.9845,0.9811
"6am",0.9524,0.9716,0.9702
"7am",0.7164,0.8288,0.8042
"8am",0.5274,0.6668,0.6422
"9am",0.4628,0.6223,0.5952
"10am",0.4505,0.618,0.5803
"11am",0.534,0.6589,0.6362
"12am",0.7214,0.751,0.7477
"1pm",0.5925,0.6527,0.6428
"2pm",0.5264,0.5924,0.5739
"3pm",0.5115,0.5825,0.5743
"4pm",0.5451,0.6442,0.6218
"5pm",0.7062,0.7897,0.7863
"6pm",0.8774,0.8951,0.8838
"7pm",0.9342,0.9302,0.9274
"8pm",0.9595,0.9349,0.9399
"9pm",0.9723,0.9577,0.9567
"10pm",0.9804,0.9682,0.9704
"11pm",0.9932,0.986,0.9843
"12pm",0.9969,0.9899,0.9881
"1am",0.9969,0.9899,0.9881
"2am",0.9969,0.9899,0.9881
"3am",0.9969,0.9978,0.9971
