"hour","sex1","sex2"
"4am",-0.147997087427444,-0.147997087427444
"5am",-0.175099877610535,-0.175099877610535
"6am",-0.192557341132581,-0.192557341132581
"7am",-0.27730216095503,-0.277302160955031
"8am",-0.19548863248619,-0.19548863248619
"9am",-0.0667257008678917,-0.0667257008678919
"10am",-0.148630615713154,-0.148630615713153
"11am",-0.253795526669382,-0.253795526669383
"12am",-0.219907925898654,-0.219907925898655
"1pm",-0.197096497041481,-0.19709649704148
"2pm",-0.203730640403757,-0.203730640403757
"3pm",-0.135553371958677,-0.135553371958677
"4pm",-0.275515017302261,-0.275515017302261
"5pm",-0.154464179973189,-0.154464179973189
"6pm",-0.256990173163379,-0.256990173163379
"7pm",-0.126983225615314,-0.126983225615314
"8pm",-0.156150508586167,-0.156150508586167
"9pm",-0.162548936756889,-0.162548936756889
"10pm",-0.112594692418904,-0.112594692418903
"11pm",-0.129299405526893,-0.129299405526893
"12pm",-0.138971109198273,-0.138971109198273
"1am",-0.168624270819105,-0.168624270819105
"2am",-0.167023322298783,-0.167023322298783
"3am",-0.176390127845231,-0.176390127845231
