"hour","cspmen1","cspmen2","cspmen3","cspmen4","cspmen5"
"4am",0.1896,0.2415,0.1119,0.1197,0.1461
"5am",0.1902,0.2384,0.1171,0.1311,0.1366
"6am",0.1857,0.2481,0.1216,0.1289,0.1435
"7am",0.1507,0.2455,0.0998,0.1409,0.1468
"8am",0.1686,0.2763,0.0702,0.135,0.2358
"9am",0.1896,0.2839,0.0694,0.146,0.2352
"10am",0.1824,0.2811,0.0856,0.1531,0.2382
"11am",0.1899,0.283,0.0782,0.138,0.2181
"12am",0.1816,0.2501,0.096,0.1608,0.1872
"1pm",0.1473,0.2707,0.0702,0.1511,0.2358
"2pm",0.1468,0.2806,0.0739,0.1227,0.2148
"3pm",0.1643,0.2738,0.0832,0.1318,0.1875
"4pm",0.1456,0.2834,0.0659,0.157,0.2027
"5pm",0.1744,0.2993,0.0789,0.1354,0.1535
"6pm",0.1655,0.2759,0.1315,0.1409,0.227
"7pm",0.1849,0.2581,0.1257,0.1407,0.1763
"8pm",0.1882,0.2658,0.1099,0.1229,0.1566
"9pm",0.1997,0.2583,0.1181,0.1442,0.161
"10pm",0.2004,0.2537,0.1108,0.1261,0.155
"11pm",0.1992,0.2507,0.1047,0.1246,0.1397
"12pm",0.2009,0.2577,0.1057,0.123,0.1382
"1am",0.1989,0.2552,0.1057,0.1215,0.1383
"2am",0.1984,0.2549,0.1064,0.12,0.1394
"3am",0.1939,0.2607,0.1075,0.1201,0.1329
