"hour","cleduc1","cleduc2","cleduc3","cleduc4"
"4am",0.1151,0.0931,0.0603,0.1514
"5am",0.1134,0.0941,0.0562,0.1494
"6am",0.12,0.0998,0.0591,0.1444
"7am",0.1046,0.1135,0.0623,0.1798
"8am",0.1626,0.1798,0.116,0.264
"9am",0.1722,0.1823,0.1085,0.2679
"10am",0.1719,0.1667,0.1127,0.2761
"11am",0.1506,0.1711,0.0884,0.318
"12am",0.1421,0.1191,0.0548,0.2515
"1pm",0.1288,0.1582,0.073,0.2892
"2pm",0.1561,0.1488,0.1016,0.2703
"3pm",0.1521,0.1476,0.1069,0.265
"4pm",0.1605,0.1657,0.0883,0.2799
"5pm",0.1524,0.1279,0.1145,0.2395
"6pm",0.1331,0.0965,0.0712,0.2169
"7pm",0.1194,0.103,0.0561,0.2014
"8pm",0.1294,0.0999,0.0656,0.1768
"9pm",0.1274,0.1008,0.0737,0.1775
"10pm",0.1266,0.1023,0.0733,0.1763
"11pm",0.1257,0.0961,0.0734,0.1779
"12pm",0.1273,0.0921,0.0728,0.1666
"1am",0.1235,0.09,0.0753,0.165
"2am",0.1236,0.0902,0.0745,0.1649
"3am",0.1236,0.0965,0.0664,0.1587
