"hour","educmen1","educmen2","educmen3","educmen4"
"4am",0.133,0.1119,0.0865,0.1645
"5am",0.1306,0.1057,0.0786,0.1664
"6am",0.1366,0.1142,0.0893,0.1611
"7am",0.107,0.1233,0.0811,0.1841
"8am",0.1677,0.1647,0.103,0.2755
"9am",0.1762,0.1636,0.0992,0.2787
"10am",0.1672,0.1596,0.1069,0.2657
"11am",0.1524,0.1566,0.0907,0.3099
"12am",0.1334,0.1056,0.0795,0.2448
"1pm",0.1267,0.1346,0.0853,0.2883
"2pm",0.1524,0.1216,0.0931,0.2888
"3pm",0.1546,0.1293,0.0855,0.2741
"4pm",0.1614,0.1533,0.0904,0.2642
"5pm",0.1692,0.1203,0.0883,0.2275
"6pm",0.1437,0.1178,0.0891,0.2227
"7pm",0.1415,0.1017,0.0892,0.195
"8pm",0.1379,0.1124,0.0874,0.1815
"9pm",0.1387,0.1139,0.0827,0.1929
"10pm",0.1395,0.1173,0.087,0.186
"11pm",0.136,0.1103,0.0927,0.1903
"12pm",0.1382,0.1084,0.09,0.1839
"1am",0.1395,0.1213,0.0893,0.1803
"2am",0.1394,0.1214,0.089,0.1803
"3am",0.1394,0.1199,0.0856,0.1815
