"hour","sex1","sex2"
"4am",-0.0183951665834,-0.018395166583399
"5am",-0.117643736387241,-0.117643736387241
"6am",-0.146661311859955,-0.146661311859955
"7am",-0.0429120307533556,-0.0429120307533554
"8am",-0.0174332984710922,-0.0174332984710921
"9am",-0.0223526757743167,-0.0223526757743168
"10am",-0.0181998077998891,-0.0181998077998889
"11am",-0.00222441979239185,-0.00222441979239165
"12am",-0.0292105456555223,-0.029210545655522
"1pm",-0.0056240459031248,-0.00562404590312472
"2pm",0.00865106710333327,0.0086510671033333
"3pm",0.0545328159059907,0.0545328159059906
"4pm",0.0197010759908304,0.0197010759908304
"5pm",0.00129717688684027,0.0012971768868403
"6pm",0.0141352815450914,0.0141352815450919
"7pm",0.0710220909681379,0.0710220909681376
"8pm",0.0202872876519452,0.020287287651946
"9pm",0.00818073235866104,0.00818073235866282
"10pm",0.0267428345831081,0.0267428345831085
"11pm",0.0535260471031877,0.0535260471031876
"12pm",0.0326451699911145,0.0326451699911137
"1am",0.0419477515941924,0.0419477515941922
"2am",0.033027948751996,0.0330279487519965
"3am",0.0253961473666902,0.0253961473666903
