"hour","rev5","rev1","rev2","rev3","rev4"
"4am",0.125959502800263,-0.0396713013095718,0.396755705050358,-0.054770007873537,0.0331724423370675
"5am",0.144624370503006,-0.0451818963265419,0.385972821145694,-0.0497901747058979,0.035286481031901
"6am",0.140009652646847,-0.0477081138814047,0.39646356061012,-0.0389909517372811,0.0403281487630995
"7am",0.00403348441800311,0.00981234132904714,0.300972536350578,-0.0417140802767541,0.113316390303922
"8am",-0.0587605366884104,0.0187682635844482,0.255582430583317,0.0903865839096953,0.0435147983495174
"9am",0.023664494270665,0.0374911948474691,0.238403636101142,0.105960892160625,0.0497239643847541
"10am",0.0724700103950096,0.0345183372178221,0.251229627912029,0.0839800039000843,0.0234598560277897
"11am",0.0668435784093426,0.0132777656380659,0.267727619280801,0.1203863995656,0.0704526964501236
"12am",0.0906522815842787,0.0138372369374347,0.296306455071165,0.0987725408892899,0.0660879648839333
"1pm",0.0779555978355696,0.040785247632711,0.216861744554416,0.0984285663595889,0.000273501337737285
"2pm",0.117894700020179,0.0558951125233105,0.271911772423593,0.167614019864182,0.05216678432683
"3pm",0.0713590595569173,0.0573588232044087,0.285084747379258,0.0614026611014562,0.0517486226620192
"4pm",0.0931630672960169,0.00518139610766806,0.37179810995869,0.0366079408015623,0.0269623699903731
"5pm",-0.00984978546705174,-0.0374041861420772,0.373221411553599,-0.0531639872735118,0.0106175442364765
"6pm",0.0360434798575899,-0.0352337388119177,0.413277719179111,-0.00557413241185624,0.027279654310572
"7pm",0.0704761928181718,-0.0290359918950245,0.380165255079455,0.016572374624313,0.0389279657626237
"8pm",0.0606431077272893,-0.0353275369317502,0.397599184868509,-0.0187630868717014,0.0083439231390382
"9pm",0.0677283807983883,-0.0327781769357189,0.379792545207923,-0.0324004422941578,-0.0238108641549722
"10pm",0.0487868901936311,-0.0379206085345713,0.393420903524013,-0.0357734987709729,-0.0117923714037159
"11pm",0.0718145527460855,-0.0348650772660314,0.408462033837893,-0.0415712601645764,0.00501486888216693
"12pm",0.0839110686727582,-0.034548123535367,0.410057757555255,-0.0351563768445461,-0.00109576900228251
"1am",0.0858930419186509,-0.0341816530928719,0.409517452863242,-0.0370082790309083,-0.00138934546909575
"2am",0.0865835650121187,-0.0331715032475221,0.403548165649745,-0.0350983638134209,-0.00890324781099651
"3am",0.0839341997651604,-0.0358598089843294,0.40183280167211,-0.0395473245514107,-0.0108974531728683
