"hour","age1","age2","age3","age4"
"4am",-0.0972954986435427,-0.14513800160378,0.15458444539468,0.0450601865350361
"5am",-0.0772482221929719,-0.121486074981053,0.0892008461015735,0.00937609256693314
"6am",-0.0746814952668956,-0.163547667046386,-0.0408944797233216,-0.099874515354849
"7am",-0.214971222761455,-0.163314424096112,-0.118884911102773,-0.250119216199363
"8am",-0.192895298461237,-0.164109317309314,-0.132179704674465,-0.283785274813075
"9am",-0.190504388225635,-0.192168612469894,-0.133224152892401,-0.292077312284708
"10am",-0.187164073224106,-0.198461832481899,-0.118800017336452,-0.292564460019969
"11am",-0.179410756124005,-0.193339948738245,-0.123086859961816,-0.292048227527843
"12am",-0.188870368076128,-0.202088378767779,-0.129421872937789,-0.290548659722636
"1pm",-0.211138216859113,-0.21258581918633,-0.129486057769982,-0.292514749376999
"2pm",-0.199663106091574,-0.197328667180586,-0.146194003751312,-0.277346733564442
"3pm",-0.200174902071398,-0.201545897550171,-0.148763415248188,-0.265731596149693
"4pm",-0.176016801801574,-0.15178649816206,-0.0223091883083488,-0.228162413321084
"5pm",-0.196223878251459,-0.185711273245772,0.0653763273130381,-0.133464951637705
"6pm",-0.15400858628205,-0.169906278022717,0.0747564715997216,-0.100388712136241
"7pm",-0.115282458592475,-0.190473912401546,0.110899382540111,-0.0957922259595483
"8pm",-0.105065853079973,-0.153348598225683,0.144225883181135,-0.03212901613134
"9pm",-0.0901987492846318,-0.124856097004478,0.18800623250462,0.0288818659817078
"10pm",-0.0800287505032652,-0.154184789457169,0.182629376546362,0.0413452172828008
"11pm",-0.127362142307887,-0.137672684586466,0.184464361687861,0.0429088132220464
"12pm",-0.127987731936533,-0.138882505669884,0.177717894104311,0.0437196796643383
"1am",-0.127982930206975,-0.13802720344519,0.180765828617068,0.0477737677388504
"2am",-0.128400758806034,-0.129179063721326,0.173520302927705,0.049296820833167
"3am",-0.124855157484813,-0.137561813702743,0.171937013993273,0.0511490638305548
