"hour","age1","age2","age3","age4"
"4am",0.0797,0.1066,0.0613,0.1165
"5am",0.0768,0.1066,0.0599,0.1179
"6am",0.0767,0.1136,0.0573,0.1214
"7am",0.1427,0.1219,0.0749,0.1356
"8am",0.1975,0.1026,0.0921,0.1422
"9am",0.2118,0.0987,0.0959,0.1455
"10am",0.2081,0.1042,0.0883,0.1388
"11am",0.1941,0.1102,0.0838,0.1398
"12am",0.1826,0.1086,0.0742,0.1385
"1pm",0.1793,0.1032,0.0826,0.1417
"2pm",0.1774,0.1079,0.0819,0.1434
"3pm",0.1394,0.1169,0.0709,0.13
"4pm",0.106,0.1061,0.064,0.1102
"5pm",0.0713,0.1061,0.063,0.1056
"6pm",0.0768,0.113,0.0638,0.1048
"7pm",0.0788,0.1138,0.0635,0.0995
"8pm",0.0789,0.1088,0.0668,0.1066
"9pm",0.0839,0.1127,0.07,0.1118
"10pm",0.0882,0.1128,0.0692,0.1136
"11pm",0.0896,0.1077,0.0641,0.1161
"12pm",0.0876,0.1054,0.0651,0.1161
"1am",0.088,0.1048,0.0646,0.1163
"2am",0.0881,0.1057,0.0648,0.1163
"3am",0.0873,0.1055,0.0647,0.1163
