"hour","act1","act2","act3","act4","act5"
"4am",0.1419,0.1889,0.7611,0.9562,0.1599
"5am",0.1947,0.2445,0.7176,0.9559,0.1533
"6am",0.2564,0.2869,0.6246,0.7482,0.1741
"7am",0.3239,0.3058,0.6146,0.4441,0.2636
"8am",0.3166,0.2781,0.5969,0.423,0.2035
"9am",0.3265,0.2687,0.6023,0.4655,0.1823
"10am",0.3294,0.272,0.5865,0.466,0.1897
"11am",0.3334,0.2806,0.5819,0.5168,0.1575
"12am",0.3257,0.2747,0.5977,0.5014,0.1965
"1pm",0.3287,0.27,0.5911,0.4734,0.1752
"2pm",0.3327,0.2767,0.595,0.5121,0.1725
"3pm",0.3286,0.2869,0.6071,0.4666,0.1716
"4pm",0.3506,0.3185,0.7641,0.47,0.2634
"5pm",0.3384,0.328,0.73,0.5016,0.2848
"6pm",0.2988,0.3076,0.7053,0.5118,0.2236
"7pm",0.3048,0.3147,0.6878,0.6542,0.234
"8pm",0.2876,0.3228,0.7237,0.583,0.2381
"9pm",0.2609,0.2868,0.7773,0.6655,0.2509
"10pm",0.2597,0.2846,0.7974,0.9063,0.2893
"11pm",0.2787,0.3358,0.9006,0.9507,0.2645
"12pm",0.2875,0.3308,0.9007,0.951,0.2867
"1am",0.282,0.3313,0.9007,0.9508,0.2735
"2am",0.2919,0.3311,0.9007,0.9507,0.2842
"3am",0.2903,0.3363,0.9007,0.9509,0.2718
