"hour","act1","act2","act3","act4","act5"
"4am",-0.229070041781752,-0.198737012443584,0.0169156871923524,-0.0520454545454546,0.0449781124427785
"5am",-0.129892330715804,-0.0623937534538006,-0.0313052212350111,-0.0520454545454546,0.120068694774767
"6am",0.0191622498607681,-0.00686340955279932,0.150175279422275,0.397612822741192,0.267290366449689
"7am",0.141405748239264,0.0700941213048883,0.0365154569185324,0.110787589725255,0.210703448980322
"8am",0.253726090753019,0.146123006082954,0.0139210334390667,0.124701279289063,0.119866606149877
"9am",0.309737983008161,0.163115409577107,0.00659379320927185,0.131614269547226,0.219128891026942
"10am",0.340427717642561,0.154037085241433,0.0049217472913489,0.113455347666576,0.146270412911982
"11am",0.332285766603344,0.134458102730091,0.0122697336427887,0.124959684165918,0.234360200125234
"12am",0.336287950208613,0.151563325067393,0.00458771694278659,0.0657870516061926,0.203224490169295
"1pm",0.37364438158971,0.161527102388597,-0.00930504456979416,0.16069389461354,0.201596763275652
"2pm",0.365713451318355,0.168457780771294,-0.00994832486651699,0.169691126730869,0.144799405455927
"3pm",0.349954649692181,0.203143990969008,-0.0220141172174074,0.189823808276879,0.162285219141828
"4pm",0.366384286751902,0.259728166025328,-0.0808001030961692,0.177266033128895,0.280331104285252
"5pm",0.3543642069815,0.217349485701782,-0.0359221883621539,0.0549201053885503,0.365144503272612
"6pm",0.34524162931131,0.179893211153236,-0.0146757336933879,0.136948835477556,0.295077765167503
"7pm",0.357328440588915,0.182211153457737,-0.0092986457985543,0.167503637837032,0.265160737863013
"8pm",0.289074611139708,0.174051859373545,0.00262589343559985,0.0916601163803036,0.283870493620829
"9pm",0.17559158683984,0.0718485408644563,-0.0626729924979963,0.306519167814636,0.231023248596614
"10pm",0.0194252387513498,-0.0297358402286445,-0.0824137799471953,-0.0467397296043158,0.112283315768195
"11pm",-0.108240700292336,-0.0781501948300538,-0.0604099767889459,-0.0279761904761905,0.0692380303557125
"12pm",-0.136321068769265,-0.0358838673324033,-0.0625732615829546,-0.0279761904761905,0.00177964693021894
"1am",-0.135906704751917,0.00235793684202856,-0.0624983930262356,-0.0279761904761905,-0.0215010334705993
"2am",-0.155908463258078,-0.0449781821979994,-0.0624238172321086,-0.0279761904761905,-0.0233941924545034
"3am",-0.180325809248213,-0.019275294949159,-0.0624034047683615,-0.0279761904761905,-0.0434790837717534
