"hour","occ1","occ2","occ3","occ4","occ5"
"4am",0.0763,0.0873,0.1534,0.0968,0.073
"5am",0.0787,0.0833,0.1544,0.0983,0.0736
"6am",0.0774,0.087,0.1607,0.101,0.078
"7am",0.1249,0.1661,0.1731,0.1494,0.0915
"8am",0.1327,0.2427,0.1797,0.1621,0.1008
"9am",0.1309,0.262,0.1753,0.1635,0.1095
"10am",0.1309,0.255,0.1765,0.1638,0.1099
"11am",0.1327,0.2476,0.1669,0.1667,0.0997
"12am",0.1256,0.2426,0.1842,0.16,0.1097
"1pm",0.1292,0.2393,0.1709,0.1669,0.1173
"2pm",0.1278,0.239,0.1615,0.1613,0.105
"3pm",0.1245,0.1871,0.1558,0.149,0.0967
"4pm",0.0831,0.145,0.1636,0.108,0.0769
"5pm",0.0761,0.0909,0.1547,0.0913,0.0748
"6pm",0.0718,0.0809,0.1474,0.0873,0.0761
"7pm",0.0678,0.0873,0.1442,0.0838,0.0758
"8pm",0.0721,0.0829,0.1606,0.0914,0.0774
"9pm",0.0761,0.0864,0.1527,0.0938,0.0802
"10pm",0.0766,0.0913,0.1558,0.0956,0.0795
"11pm",0.0766,0.0941,0.1543,0.0962,0.0771
"12pm",0.0765,0.0915,0.1529,0.0959,0.0772
"1am",0.0759,0.091,0.1526,0.0953,0.0782
"2am",0.0755,0.0903,0.1524,0.0949,0.0783
"3am",0.075,0.0905,0.1521,0.095,0.0781
