"hour","sex1","sex2"
"4am",0.0319,0.0319
"5am",0.03,0.03
"6am",0.0435,0.0435
"7am",0.0732,0.0732
"8am",0.0867,0.0867
"9am",0.0914,0.0914
"10am",0.0966,0.0966
"11am",0.0905,0.0905
"12am",0.0882,0.0882
"1pm",0.0982,0.0982
"2pm",0.0947,0.0947
"3pm",0.0833,0.0833
"4pm",0.056,0.056
"5pm",0.0424,0.0424
"6pm",0.0356,0.0356
"7pm",0.0375,0.0375
"8pm",0.0364,0.0364
"9pm",0.0338,0.0338
"10pm",0.032,0.032
"11pm",0.0325,0.0325
"12pm",0.0322,0.0322
"1am",0.032,0.032
"2am",0.032,0.032
"3am",0.032,0.032
