"hour","mode1","mode2","mode3"
"4am",0.267,0.2354,0.3138
"5am",0.2596,0.2293,0.3096
"6am",0.2518,0.2273,0.3051
"7am",0.2476,0.2044,0.2355
"8am",0.2972,0.2067,0.1949
"9am",0.3135,0.206,0.1804
"10am",0.312,0.2056,0.1827
"11am",0.3102,0.1946,0.1844
"12am",0.2953,0.2088,0.2047
"1pm",0.2775,0.2219,0.2129
"2pm",0.2733,0.2178,0.2189
"3pm",0.2256,0.1928,0.2154
"4pm",0.2368,0.1981,0.254
"5pm",0.2879,0.2307,0.2831
"6pm",0.2872,0.2195,0.2718
"7pm",0.3049,0.2295,0.2764
"8pm",0.2981,0.2296,0.2845
"9pm",0.2894,0.2356,0.2983
"10pm",0.3027,0.2418,0.3068
"11pm",0.3005,0.2448,0.3117
"12pm",0.3016,0.2458,0.3121
"1am",0.3009,0.2455,0.3127
"2am",0.3005,0.2461,0.3141
"3am",0.3006,0.2469,0.3151
