"hour","sex1","sex2"
"4am",0.256761406072809,0.25676140607281
"5am",0.253947976196079,0.253947976196078
"6am",0.128474352439572,0.128474352439573
"7am",0.0360474038695569,0.0360474038695569
"8am",0.101393675496857,0.101393675496856
"9am",0.127573994571573,0.127573994571573
"10am",0.185716616565822,0.185716616565822
"11am",0.173626343160631,0.173626343160631
"12am",0.189319254554865,0.189319254554865
"1pm",0.182029329530546,0.182029329530546
"2pm",0.16756632920856,0.16756632920856
"3pm",0.203248670178723,0.203248670178723
"4pm",0.137814051603354,0.137814051603354
"5pm",0.217376953320258,0.217376953320258
"6pm",0.251174597771931,0.251174597771931
"7pm",0.189878676515141,0.189878676515141
"8pm",0.20952294548997,0.20952294548997
"9pm",0.146738453469146,0.146738453469146
"10pm",0.166318847673058,0.166318847673058
"11pm",0.207480526754358,0.207480526754358
"12pm",0.21368529414407,0.21368529414407
"1am",0.212631123399278,0.212631123399278
"2am",0.222864178444039,0.222864178444038
"3am",0.22210558653923,0.222105586539229
