"hour","occ1","occ2","occ3","occ4","occ5"
"4am",0.1075,0.1001,0.1623,0.1299,0.0998
"5am",0.1069,0.102,0.1601,0.1292,0.1016
"6am",0.1103,0.108,0.159,0.1285,0.107
"7am",0.1402,0.1515,0.1661,0.1275,0.1395
"8am",0.1621,0.2221,0.1775,0.154,0.1684
"9am",0.1637,0.2304,0.1823,0.1567,0.1707
"10am",0.1654,0.2411,0.1762,0.1557,0.1606
"11am",0.1649,0.2393,0.1796,0.154,0.174
"12am",0.1626,0.2399,0.1792,0.1443,0.1712
"1pm",0.1656,0.2528,0.1579,0.1481,0.1714
"2pm",0.1666,0.2363,0.1685,0.147,0.1717
"3pm",0.1508,0.1834,0.1587,0.1327,0.1584
"4pm",0.1156,0.1487,0.1456,0.1172,0.135
"5pm",0.1,0.122,0.1523,0.1058,0.1118
"6pm",0.0995,0.1139,0.1532,0.1128,0.1031
"7pm",0.0978,0.1163,0.1479,0.1123,0.1105
"8pm",0.1007,0.1138,0.1524,0.1158,0.105
"9pm",0.1052,0.1068,0.1591,0.121,0.1008
"10pm",0.1061,0.1025,0.1636,0.1256,0.1004
"11pm",0.1077,0.1019,0.1665,0.1291,0.1014
"12pm",0.1074,0.103,0.1665,0.1296,0.1003
"1am",0.1069,0.1028,0.1664,0.1295,0.1003
"2am",0.1073,0.103,0.1667,0.13,0.1002
"3am",0.1075,0.1036,0.1667,0.1302,0.1002
