"hour","rev5","rev1","rev2","rev3","rev4"
"4am",0.0394,0.1891,0.0957,0.1408,0.2376
"5am",0.0404,0.1888,0.0955,0.1414,0.2404
"6am",0.0412,0.181,0.0916,0.1416,0.2317
"7am",0.0457,0.1523,0.0717,0.1317,0.2079
"8am",0.0519,0.1379,0.0658,0.1239,0.2001
"9am",0.0495,0.1327,0.067,0.12,0.2012
"10am",0.0553,0.1303,0.0695,0.1171,0.2039
"11am",0.0541,0.1335,0.0617,0.1235,0.2032
"12am",0.0499,0.1331,0.0631,0.1247,0.2007
"1pm",0.0539,0.133,0.0613,0.1206,0.2022
"2pm",0.0484,0.1383,0.0597,0.1223,0.2014
"3pm",0.0499,0.1324,0.0666,0.1167,0.1955
"4pm",0.0473,0.1489,0.0788,0.1185,0.2
"5pm",0.0442,0.1695,0.092,0.1199,0.201
"6pm",0.0536,0.1737,0.0913,0.1238,0.1981
"7pm",0.0527,0.1732,0.0875,0.1189,0.195
"8pm",0.0523,0.1823,0.092,0.1242,0.2045
"9pm",0.0483,0.193,0.0934,0.1336,0.2218
"10pm",0.0469,0.1958,0.0954,0.1369,0.2326
"11pm",0.0473,0.196,0.0945,0.1412,0.2361
"12pm",0.0457,0.1937,0.0953,0.1401,0.2382
"1am",0.0448,0.1934,0.0949,0.1404,0.2374
"2am",0.0455,0.1944,0.0947,0.1408,0.2371
"3am",0.0457,0.1941,0.0948,0.1407,0.2377
