"hour","sex1","sex2"
"4am",0.0473,0.0473
"5am",0.0486,0.0486
"6am",0.057,0.057
"7am",0.0742,0.0742
"8am",0.0819,0.0819
"9am",0.0883,0.0883
"10am",0.0928,0.0928
"11am",0.0889,0.0889
"12am",0.0947,0.0947
"1pm",0.0975,0.0975
"2pm",0.097,0.097
"3pm",0.0867,0.0867
"4pm",0.0754,0.0754
"5pm",0.0649,0.0649
"6pm",0.0601,0.0601
"7pm",0.0584,0.0584
"8pm",0.0585,0.0585
"9pm",0.0564,0.0564
"10pm",0.0548,0.0548
"11pm",0.0539,0.0539
"12pm",0.0523,0.0523
"1am",0.0514,0.0514
"2am",0.0519,0.0519
"3am",0.0518,0.0518
