"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"92.2778612862296";"92.2778612862296";"92.2778612862296";"92.2778612862296";"92.2778612862296";"92.2778612862296";"92.2778612862296";"92.2778612862296";"92.2778612862296";"92.2778612862296";"92.2778612862296";"92.2778612862296";"92.2778612862296";"92.2778612862296";"92.2778612862296";"92.2778612862296";"92.2778612862296";"92.2778612862296"
"4am";"50.59705";"63.76564";"68.13170";"83.81086";"74.31728";"71.60027";"83.40883";"79.32925";"78.60044";"80.36981";"88.84209";"77.75745";"83.03761";"85.68999";"83.28601";"85.27830";"88.12803";"91.91215"
"5am";"51.84336";"63.76564";"68.91759";"83.76341";"72.82450";"72.00907";"83.30673";"78.08700";"78.44984";"80.82438";"88.67779";"77.57200";"83.03761";"86.67760";"83.33913";"85.28484";"88.05488";"91.81705"
"6am";"51.53526";"65.66623";"69.42982";"84.24652";"73.47656";"71.15919";"82.49812";"78.28395";"79.39975";"82.60731";"88.60466";"77.75105";"83.57217";"86.53136";"82.57864";"86.34568";"87.78886";"91.31313"
"7am";"55.80014";"72.02429";"70.91467";"80.91417";"71.58290";"78.18000";"84.18026";"84.15370";"82.75684";"78.05449";"87.58748";"76.30354";"82.87851";"81.73024";"78.10552";"86.88520";"88.35525";"91.15673"
"8am";"56.01158";"72.40370";"69.69802";"78.41948";"73.58866";"79.54256";"77.88377";"80.69875";"83.02199";"75.08454";"86.49896";"76.30898";"83.04871";"83.83404";"74.73497";"81.73561";"86.41803";"88.57359"
"9am";"55.35823";"73.98528";"67.15335";"79.71067";"72.82935";"80.02564";"77.11407";"76.88036";"81.62657";"75.13215";"90.03536";"76.85065";"82.73459";"81.63343";"68.77869";"81.65251";"86.83075";"84.50021"
"10am";"54.41444";"71.98253";"70.24440";"80.68974";"71.50569";"80.37186";"74.01725";"78.93532";"80.64856";"75.58491";"88.19163";"77.96203";"82.53789";"81.03718";"68.49158";"79.98119";"88.66698";"87.18560"
"11am";"52.85348";"68.94769";"64.89238";"82.53558";"70.39778";"81.38279";"78.49569";"76.44417";"77.05685";"75.92626";"87.85205";"75.19413";"83.64383";"81.78924";"70.32383";"81.48764";"87.64306";"89.76343"
"12am";"45.02595";"64.48817";"61.36828";"83.03056";"73.60352";"80.34351";"84.43473";"79.41691";"75.79800";"67.85853";"87.27907";"74.74243";"82.61997";"84.08042";"75.87327";"86.66074";"90.44171";"91.08846"
"1pm";"48.57587";"68.00447";"63.25245";"79.05534";"69.00827";"84.88096";"82.87161";"79.54280";"77.79110";"70.65562";"89.32969";"77.50456";"84.37500";"81.86231";"75.59522";"82.02203";"89.89763";"89.58133"
"2pm";"49.13173";"69.64194";"61.75855";"78.15361";"68.42543";"84.59858";"82.32457";"76.83343";"80.17473";"68.18070";"89.27203";"78.22892";"83.84366";"83.01349";"77.37594";"83.54109";"87.53838";"90.09811"
"3pm";"49.62486";"68.29654";"60.42925";"76.12605";"71.52246";"81.78305";"81.57452";"79.22857";"85.00669";"74.06558";"82.06973";"78.46418";"83.31251";"83.55841";"77.94134";"86.99758";"88.01938";"88.06531"
"4pm";"49.91850";"68.54487";"62.94794";"77.40015";"72.41928";"80.53045";"81.75255";"78.03097";"79.91004";"75.86063";"79.40115";"77.50112";"82.64077";"83.94067";"77.30582";"85.83527";"87.81948";"85.80192"
"5pm";"47.97815";"61.95345";"63.08266";"78.12374";"64.30355";"76.93847";"82.77799";"77.12166";"76.08980";"80.46925";"84.58012";"74.15729";"81.95076";"85.51210";"81.71745";"84.92227";"85.45605";"88.14779"
"6pm";"49.48428";"64.97599";"64.18453";"82.54621";"72.11526";"71.30866";"86.02913";"77.52630";"78.18900";"81.29937";"82.74648";"76.65015";"83.53163";"86.56775";"82.51848";"85.64334";"86.35920";"89.29091"
"7pm";"54.72580";"68.42423";"63.93455";"83.08533";"74.25999";"66.91449";"83.67191";"78.31490";"78.92797";"81.02357";"83.26164";"75.82745";"83.51794";"86.20435";"82.94743";"85.53189";"88.96186";"90.88919"
"8pm";"53.02582";"67.06595";"65.26297";"82.72980";"74.40664";"68.23377";"83.26165";"78.86086";"77.93594";"81.68878";"86.94822";"77.86492";"82.21615";"86.18172";"84.46870";"85.92675";"88.78638";"91.81508"
"9pm";"51.91120";"66.85896";"65.49547";"83.33277";"74.44832";"69.44416";"83.66138";"79.17603";"78.14711";"82.26909";"87.50068";"77.62036";"81.57480";"86.22101";"83.29845";"84.27620";"88.79832";"92.00613"
"10pm";"49.11996";"66.68883";"64.89168";"83.02113";"75.31299";"70.25749";"83.90043";"79.16999";"79.73224";"81.95463";"87.20549";"77.66437";"81.16085";"86.31346";"83.43943";"84.37840";"89.11787";"92.27786"
"11pm";"47.01608";"66.10484";"65.81508";"83.01145";"75.80323";"70.05377";"83.85358";"79.43205";"79.72646";"81.61628";"87.72704";"78.13436";"81.32496";"86.33598";"83.43943";"84.59577";"89.24913";"92.21212"
"12pm";"51.78767";"63.45892";"65.91064";"82.89634";"74.05308";"69.82517";"84.08587";"80.04154";"79.59529";"81.30460";"87.86046";"78.23696";"81.19061";"86.08689";"83.55811";"84.86084";"89.11161";"92.26099"
"1am";"49.75930";"63.45892";"65.91064";"84.56591";"72.71548";"69.92514";"84.08587";"79.95395";"79.70465";"81.30460";"87.86046";"78.23696";"81.42421";"86.08689";"83.76376";"85.03539";"89.11161";"92.04123"
"2am";"49.58601";"63.58814";"65.91064";"84.56591";"73.01881";"69.92514";"84.08587";"79.95395";"79.70465";"81.72880";"87.86046";"78.23696";"81.42421";"86.08689";"83.76376";"85.03539";"89.11161";"92.04123"
"3am";"49.58601";"63.58814";"65.91064";"84.56591";"72.92772";"69.92514";"84.08587";"79.95395";"79.70465";"81.62782";"87.86046";"78.23696";"81.42421";"86.08689";"83.86391";"85.03539";"89.11161";"92.04123"
