"hour","101","102","103","104","105","106","107","108","109","110","111","112","113","114","115","116","117","118","119","120","121","122","123","124","125","126","127","128","129","130","131","132","133","135","136","137","138","139","140","141","142","143","144","145","146","147","148","149","150","151","152","153","154","155","156","157"
"min",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"max",25612.30978,25612.30978,25612.30978,25612.30978,25612.30978,25612.30978,25612.30978,25612.30978,25612.30978,25612.30978,25612.30978,25612.30978,25612.30978,25612.30978,25612.30978,25612.30978,25612.30978,25612.30978,25612.30978,25612.30978,25612.30978,25612.30978,25612.30978,25612.30978,25612.30978,25612.30978,25612.30978,25612.30978,25612.30978,25612.30978,25612.30978,25612.30978,25612.30978,25612.30978,25612.30978,25612.30978,25612.30978,25612.30978,25612.30978,25612.30978,25612.30978,25612.30978,25612.30978,25612.30978,25612.30978,25612.30978,25612.30978,25612.30978,25612.30978,25612.30978,25612.30978,25612.30978,25612.30978,25612.30978,25612.30978,25612.30978
"4am",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5am",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6am",1390.26565,0,0,0,0,0,0,0,0,2141.0621,0,0,0,1170.18877,0,0,0,0,0,0,0,0,0,2215.17495,0,0,0,0,0,0,2126.86874,0,0,0,0,0,0,0,1431.21269,0,0,0,0,0,0,1635.02386,0,0,1221.18503,0,0,0,0,0,0,0
"7am",4117.50349,3549.21055,2845.87235,2352.49166,3800.75409,3833.49903,1825.53183,1615.04536,4650.84328,5740.62096,1124.11368,1424.08638,0,3890.40616,0,0,2531.50572,2330.49856,3317.85261,0,2004.73104,0,2287.65561,7347.82286,7709.09883,0,1533.66092,0,0,3477.21049,5443.65079,2458.3398,0,1902.33545,0,0,0,0,3234.20139,1341.17147,0,2238.68627,0,4856.64242,2192.83494,5361.88864,2825.63163,1539.9123,2873.58533,2018.13141,0,2491.62875,2311.04701,0,1879.20604,1928.29024
"8am",11228.56294,9868.72532,4608.99991,3270.64168,8029.80407,6548.1805,3510.81113,2979.05612,7684.79614,9608.11933,2475.38725,2761.11296,1971.95592,6920.35983,873.27192,2980.46008,4127.4747,5944.82384,7769.41367,3436.1496,3876.76743,1478.15261,6305.31045,11116.37936,17545.34108,1978.01045,2825.99514,0,0,7622.48687,10538.0004,4248.74338,1890.42289,3602.32277,2663.54278,1404.05387,1600.04725,0,5974.1783,2591.65761,2397.51719,3847.11056,1471.8687,9430.77218,3658.32549,13581.19554,3721.35406,3143.37827,6173.44661,5299.88716,1400.98011,3258.42125,3803.94199,1878.12481,4022.54504,4195.46966
"9am",15210.95306,11899.2927,6369.26757,4346.46533,9080.59663,8629.42593,4340.18722,3090.12383,8659.72503,10553.85253,2534.07638,2956.31354,2515.1275,7291.3998,1127.41234,4044.82451,5057.43015,6940.50988,7900.95498,4198.42392,4269.9403,2080.64821,8356.73872,13335.99218,24364.09669,2127.28342,3138.56294,1383.5625,2358.01878,8197.99056,11552.45825,4014.90622,2899.31423,4005.78241,2746.89161,2002.7911,1779.91397,1871.50129,7890.14561,3191.23401,2969.80362,4477.85492,1821.7151,11858.96087,4967.47994,15628.46798,4463.14015,3319.38679,7796.89126,5957.30784,1310.9377,3711.23844,4255.41619,1704.86807,4456.63422,6390.21443
"10am",18051.00534,12054.3708,7338.55225,4296.26188,9719.59342,8871.02247,5286.46816,3641.38902,9608.71068,10771.1229,2814.0006,3084.6217,2514.28762,8093.34871,1336.93917,3989.76156,5246.89442,7180.94394,8228.01702,3959.99819,4519.97344,2449.19355,7360.05209,13200.06168,25612.30978,2476.76966,3423.063,2235.96184,2175.88394,8352.76986,11368.79747,4739.7309,4071.09821,3815.84469,3269.18701,1855.552,1836.08635,1348.05917,8867.65446,3116.42836,2663.94062,5256.7431,1422.0923,13178.01787,5494.11246,17173.59931,4531.96733,3790.0446,7708.30044,5911.37432,1957.5514,4276.18862,6189.13046,1658.05251,4900.00642,6895.22533
