"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019"
"min";"206.878";"206.878";"206.878";"206.878";"206.878";"206.878";"206.878";"206.878";"206.878";"206.878";"206.878";"206.878";"206.878";"206.878";"206.878";"206.878";"206.878";"206.878";"206.878"
"max";"5262.53";"5262.53";"5262.53";"5262.53";"5262.53";"5262.53";"5262.53";"5262.53";"5262.53";"5262.53";"5262.53";"5262.53";"5262.53";"5262.53";"5262.53";"5262.53";"5262.53";"5262.53";"5262.53"
"4am";"1028.278";"1279.713";"2110.983";"2502.977";" 877.516";"2467.851";" 912.785";"3670.158";"1420.553";"2137.433";"1978.043";"1766.165";"2643.387";"1798.417";"2155.193";"2799.617";"1126.540";"2601.587";"1404.211"
"5am";"1139.399";"1265.883";"2089.532";"2536.973";" 877.516";"2547.228";" 912.785";"3666.950";"1381.163";"2169.221";"1978.043";"1766.165";"2604.600";"1801.120";"2194.583";"2839.110";"1034.698";"2472.227";"1404.211"
"6am";"1164.329";"1255.506";"1889.448";"2603.303";" 949.165";"2605.196";" 977.558";"3447.436";"1378.992";"2165.585";"1978.043";"1661.287";"2606.485";"1805.043";"2008.481";"2835.392";" 962.137";"2380.210";"1325.893"
"7am";"1211.349";"1120.357";"1669.362";"2893.371";"1354.955";"3256.744";"1095.782";"3179.860";"1272.490";"2459.557";"1577.595";"1341.154";"2814.932";"1869.560";"1226.644";"2406.359";" 712.797";"1852.889";"1493.094"
"8am";"1547.862";" 989.368";"1701.787";"2804.220";"1305.786";"4676.286";"1344.922";"2626.152";"1234.520";"2314.284";"1456.371";"1237.276";"2802.816";"1789.275";"1040.354";"2257.521";" 577.093";"1436.398";"1727.276"
"9am";"1644.848";" 982.454";"1723.172";"2731.070";"1205.418";"5143.881";"1303.814";"2431.509";"1172.026";"2398.456";"1566.344";"1176.031";"2548.910";"1675.102";" 979.288";"2384.393";" 543.111";"1430.015";"1815.462"
"10am";"1579.880";" 863.932";"1679.004";"2430.347";"1346.462";"5262.530";"1196.770";"2446.238";"1062.935";"2637.488";"1404.361";"1447.712";"2610.036";"1792.833";" 904.979";"2533.226";" 525.253";"1476.025";"1700.968"
"11am";"1597.623";" 875.927";"1804.722";"2413.385";"1288.762";"4902.395";"1281.486";"2440.752";"1123.579";"2818.344";"1487.749";"1466.489";"2576.632";"1742.344";" 963.931";"2210.145";" 518.736";"1465.909";"1770.193"
"12am";"1416.426";"1042.945";"1627.606";"2634.337";"1222.383";"4622.753";"1202.288";"2984.391";"1231.046";"2660.289";"1640.041";"1277.245";"2592.335";"1786.216";"1200.941";"1939.841";" 621.060";"1495.194";"1591.488"
"1pm";"1678.120";" 750.487";"1667.469";"2466.852";"1294.483";"3884.620";"2072.093";"2798.368";"1157.324";"2742.651";"1312.587";"1163.504";"2508.206";"1776.269";" 983.333";"2073.861";" 555.702";"1643.439";"1758.715"
"2pm";"1613.764";" 812.567";"1560.419";"1862.163";"1384.285";"4391.161";"1288.502";"2902.616";"1108.403";"2758.681";"1340.932";"1145.027";"2547.970";"1476.855";"1217.709";"2604.326";" 614.059";"1461.825";"1707.358"
"3pm";"1477.662";" 819.362";"1983.079";"2207.276";"1226.396";"4490.274";"1097.000";"2910.856";"1083.418";"2402.970";"1462.157";"1033.581";"2530.578";"1366.144";"1130.031";"2627.138";" 637.036";"1405.400";"1655.303"
"4pm";"1720.032";" 828.988";"1936.148";"1913.552";" 940.501";"4098.417";"1262.310";"3521.075";"1267.993";"2549.754";"1612.074";" 997.512";"2847.187";"1323.836";"1086.917";"2579.226";" 682.128";"1574.877";"1613.483"
"5pm";"1326.329";" 847.823";"1946.184";"2146.925";" 912.872";"3402.527";"1121.879";"3754.739";"1188.892";"2293.574";"1932.486";"1339.400";"2623.564";"1402.181";"1434.206";"2686.715";"1091.517";"1916.093";"1371.100"
"6pm";"1242.555";" 946.400";"2121.436";"2529.386";"1063.359";"2727.059";" 797.616";"3852.519";"1189.762";"2048.657";"1993.201";"1504.831";"2704.345";"1482.003";"1836.009";"2834.871";"1080.726";"2694.957";"1398.479"
"7pm";"1148.312";"1021.600";"2168.042";"2394.904";"1103.297";"3188.057";" 861.023";"3876.397";"1335.258";"1990.815";"1939.292";"1601.682";"2657.272";"1620.041";"1936.721";"2632.190";"1099.279";"2726.816";"1315.534"
"8pm";"1071.905";"1012.824";"2349.229";"2503.742";" 937.612";"2944.226";" 807.211";"4228.779";"1465.797";"1940.897";"1995.542";"1682.235";"2624.522";"1724.151";"2155.193";"2571.355";"1115.431";"2520.248";"1333.486"
"9pm";" 998.536";"1026.493";"2222.175";"2430.411";" 917.935";"3050.661";" 912.785";"4192.662";"1501.291";"1934.612";"2063.480";"1670.845";"2564.672";"1763.175";"2082.823";"2715.933";"1126.053";"2511.246";"1458.077"
"10pm";" 998.536";"1044.932";"2222.175";"2497.875";" 917.908";"2908.232";" 942.711";"4192.662";"1432.729";"1970.279";"2063.480";"1681.610";"2603.696";"1724.151";"2082.823";"2696.549";"1086.323";"2524.564";"1526.639"
"11pm";" 977.819";"1044.932";"2344.129";"2497.875";" 899.197";"2559.497";" 942.711";"4284.017";"1430.733";"2000.734";"2063.480";"1681.610";"2643.797";"1762.664";"2082.823";"2812.374";"1086.323";"2524.564";"1526.639"
"12pm";" 987.672";"1044.932";"2365.580";"2525.477";" 899.197";"2336.841";"1118.512";"4284.017";"1430.733";"2000.734";"2063.480";"1681.610";"2643.387";"1762.664";"2082.823";"2812.374";"1106.117";"2571.419";"1526.639"
"1am";" 987.672";"1044.932";"2365.580";"2525.477";" 899.197";"2297.111";"1118.512";"4284.017";"1430.733";"2000.734";"2045.981";"1699.109";"2643.387";"1762.664";"2082.823";"2812.374";"1145.847";"2601.587";"1496.471"
"2am";" 987.672";"1044.932";"2365.580";"2525.477";" 899.197";"2472.912";" 942.711";"4284.017";"1430.733";"2000.734";"2045.981";"1699.109";"2643.387";"1762.664";"2155.193";"2812.374";"1145.847";"2601.587";"1424.101"
"3am";" 987.672";"1250.675";"2365.580";"2525.477";" 899.197";"2267.169";" 942.711";"4284.017";"1430.733";"2000.734";"2045.981";"1699.109";"2643.387";"1762.664";"2155.193";"2812.374";"1145.847";"2601.587";"1424.101"
