"hour","001","002","003","004","005","006","007","008","009","010","011","012","013","014","015","016","017","018","019","020","021","022","023","024","025","026","027","029"
"min",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"max",14869.68,14869.68,14869.68,14869.68,14869.68,14869.68,14869.68,14869.68,14869.68,14869.68,14869.68,14869.68,14869.68,14869.68,14869.68,14869.68,14869.68,14869.68,14869.68,14869.68,14869.68,14869.68,14869.68,14869.68,14869.68,14869.68,14869.68,14869.68
"4am",368.88,0,0,228.96,419.76,0,0,178.08,0,0,0,292.56,203.52,0,267.12,0,0,0,0,0,0,0,0,0,0,0,0,979.44
"5am",623.28,216.24,0,292.56,534.24,228.96,0,254.4,0,0,0,381.6,330.72,0,343.44,0,0,0,0,0,0,0,178.08,0,0,0,0,1500.96
"6am",1831.68,521.52,165.36,864.96,1043.04,979.44,508.8,661.44,0,228.96,0,585.12,712.32,407.04,1297.44,165.36,178.08,0,0,0,178.08,228.96,330.72,0,0,0,0,3701.52
"7am",6372.72,3205.44,839.52,3637.92,4057.68,1984.32,1615.44,2518.56,241.68,572.4,330.72,1691.76,2149.68,941.28,2518.56,432.48,356.16,279.84,178.08,0,228.96,1055.76,559.68,0,0,0,0,8268
"8am",10544.88,6767.04,1437.36,6449.04,6054.72,2442.24,2785.68,4095.84,432.48,852.24,737.76,3383.52,3434.4,1310.16,2696.64,521.52,483.36,432.48,228.96,0,279.84,1679.04,686.88,0,152.64,216.24,356.16,11791.44
"9am",11460.72,7682.88,1577.28,7873.68,6894.24,2454.96,3103.68,4337.52,419.76,1017.6,1004.88,4452,4121.28,1450.08,2760.24,610.56,636,432.48,267.12,165.36,356.16,1691.76,674.16,0,178.08,254.4,318,13025.28
"10am",11880.48,8318.88,1831.68,8764.08,7250.4,2518.56,3281.76,4388.4,521.52,1284.72,1233.84,4960.8,4261.2,1450.08,2836.56,648.72,674.16,559.68,254.4,152.64,305.28,1729.92,699.6,0,190.8,254.4,305.28,13992
"11am",11511.6,7950,1551.84,8598.72,7034.16,2518.56,3040.08,4210.32,419.76,1093.92,1144.8,4782.72,3968.64,1437.36,2811.12,636,636,546.96,216.24,152.64,267.12,1755.36,737.76,0,203.52,254.4,318,14030.16
"12am",11028.24,7670.16,1628.16,8611.44,6830.64,2467.68,3001.92,4108.56,457.92,1081.2,1259.28,4731.84,3625.2,1373.76,2760.24,585.12,546.96,597.84,216.24,178.08,330.72,1768.08,712.32,0,178.08,254.4,305.28,14131.92
"1pm",12122.16,8268,2022.48,9947.04,7212.24,2505.84,3548.88,4401.12,521.52,1526.4,1729.92,5126.16,4337.52,1488.24,2772.96,763.2,699.6,636,254.4,152.64,381.6,1768.08,750.48,152.64,203.52,292.56,356.16,14869.68
"2pm",12033.12,8166.24,1920.72,9679.92,6817.92,2505.84,3510.72,4388.4,572.4,1208.4,2213.28,5075.28,4248.48,1577.28,2734.8,839.52,775.92,661.44,254.4,0,343.44,1806.24,648.72,0,216.24,267.12,318,14500.8
"3pm",10125.12,6627.12,1602.72,7733.76,5660.4,2276.88,2747.52,3370.8,534.24,1259.28,1551.84,4057.68,3663.36,1259.28,2404.08,852.24,699.6,546.96,203.52,0,330.72,1539.12,470.64,0,178.08,216.24,279.84,12274.8
"4pm",6003.84,4757.28,852.24,5202.48,3523.44,1666.32,1488.24,2518.56,470.64,1043.04,1132.08,2709.36,2963.76,763.2,1259.28,661.44,457.92,381.6,165.36,0,178.08,864.96,381.6,0,0,0,152.64,7453.92
"5pm",3027.36,2734.8,508.8,3256.32,2264.16,788.64,954,1399.2,292.56,686.88,699.6,1920.72,1551.84,407.04,775.92,419.76,343.44,318,0,0,178.08,559.68,152.64,0,0,0,0,4706.4
"6pm",3230.88,2276.88,623.28,2976.48,1475.52,648.72,1386.48,1462.8,318,623.28,610.56,2149.68,1348.32,368.88,737.76,394.32,419.76,419.76,0,0,0,496.08,152.64,0,0,0,0,4502.88
"7pm",3103.68,2136.96,699.6,2658.48,1462.8,648.72,1450.08,1679.04,279.84,661.44,814.08,2047.92,1055.76,318,610.56,457.92,394.32,394.32,0,0,0,445.2,0,0,0,0,0,4197.6
"8pm",2276.88,1653.6,610.56,1691.76,1208.4,445.2,1144.8,1399.2,178.08,457.92,546.96,1361.04,852.24,228.96,419.76,356.16,267.12,330.72,0,0,0,279.84,0,0,0,0,0,3383.52
"9pm",1513.68,1068.48,419.76,801.36,903.12,356.16,725.04,661.44,0,178.08,241.68,699.6,534.24,165.36,318,267.12,190.8,203.52,0,0,0,152.64,0,0,0,0,0,2518.56
"10pm",826.8,559.68,0,546.96,661.44,267.12,445.2,407.04,0,0,203.52,521.52,445.2,0,305.28,203.52,0,0,0,0,0,0,0,0,0,0,0,1793.52
"11pm",636,343.44,0,279.84,521.52,0,0,216.24,0,0,0,216.24,254.4,0,267.12,0,0,0,0,0,0,0,0,0,0,0,0,1551.84
"12pm",521.52,228.96,0,228.96,394.32,0,0,165.36,0,0,0,190.8,216.24,0,254.4,0,0,0,0,0,0,0,0,0,0,0,0,1310.16
"1am",496.08,216.24,0,216.24,394.32,0,0,152.64,0,0,0,178.08,203.52,0,241.68,0,0,0,0,0,0,0,0,0,0,0,0,1221.12
"2am",419.76,203.52,0,203.52,368.88,0,0,165.36,0,0,0,165.36,203.52,0,241.68,0,0,0,0,0,0,0,0,0,0,0,0,1195.68
"3am",407.04,190.8,0,203.52,381.6,0,0,165.36,0,0,0,152.64,203.52,0,241.68,0,0,0,0,0,0,0,0,0,0,0,0,1195.68
