"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018";"019";"020";"021"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"3529.620576";"3529.620576";"3529.620576";"3529.620576";"3529.620576";"3529.620576";"3529.620576";"3529.620576";"3529.620576";"3529.620576";"3529.620576";"3529.620576";"3529.620576";"3529.620576";"3529.620576";"3529.620576";"3529.620576";"3529.620576";"3529.620576";"3529.620576";"3529.620576"
"4am";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0"
"5am";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0"
"6am";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"7am";"928.8475";"  0.0000";"330.2569";"  0.0000";"137.6070";"  0.0000";"  0.0000";"144.4874";"350.8980";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000";"  0.0000"
"8am";"1403.59181";"   0.00000";" 605.47098";"   0.00000";" 185.76950";"   0.00000";" 110.08563";" 185.76950";" 619.23168";"   0.00000";"  82.56422";"   0.00000";"   0.00000";"   0.00000";"   0.00000";"   0.00000";"   0.00000";"   0.00000";"   0.00000";"   0.00000";"   0.00000"
"9am";"1596.24166";"   0.00000";" 646.75309";"   0.00000";" 206.41056";"   0.00000";" 110.08563";" 185.76950";" 667.39414";"   0.00000";"  82.56422";"   0.00000";"   0.00000";"   0.00000";"   0.00000";"   0.00000";"   0.00000";"   0.00000";"   0.00000";"   0.00000";"   0.00000"
"10am";"1603.12202";"  89.44458";" 632.99238";"   0.00000";" 206.41056";"   0.00000";" 110.08563";" 185.76950";" 639.87274";"   0.00000";"  96.32493";"   0.00000";"   0.00000";"   0.00000";"   0.00000";"  82.56422";"   0.00000";"   0.00000";"   0.00000";"   0.00000";"   0.00000"
"11am";"1499.91674";" 103.20528";" 653.63344";"   0.00000";" 206.41056";"   0.00000";" 103.20528";" 178.88915";" 612.35133";"   0.00000";"  96.32493";"   0.00000";"   0.00000";"   0.00000";"   0.00000";"   0.00000";"   0.00000";"   0.00000";"   0.00000";"   0.00000";"   0.00000"
"12am";"1568.72026";" 123.84634";" 509.14605";"   0.00000";" 178.88915";"   0.00000";" 103.20528";" 172.00880";" 605.47098";"   0.00000";"   0.00000";"   0.00000";"   0.00000";"   0.00000";"   0.00000";"  82.56422";"   0.00000";"   0.00000";"   0.00000";"   0.00000";"   0.00000"
"1pm";"1630.64342";" 116.96598";" 488.50499";"   0.00000";" 178.88915";"   0.00000";" 103.20528";" 172.00880";" 619.23168";"   0.00000";" 110.08563";"   0.00000";"   0.00000";"   0.00000";"   0.00000";"  96.32493";"   0.00000";"   0.00000";"   0.00000";"   0.00000";"   0.00000"
