"hour";"001";"002";"003";"004";"005";"006";"007";"008";"009";"010";"011";"012";"013";"014";"015";"016";"017";"018"
"min";"1.84342759302594";"1.84342759302594";"1.84342759302594";"1.84342759302594";"1.84342759302594";"1.84342759302594";"1.84342759302594";"1.84342759302594";"1.84342759302594";"1.84342759302594";"1.84342759302594";"1.84342759302594";"1.84342759302594";"1.84342759302594";"1.84342759302594";"1.84342759302594";"1.84342759302594";"1.84342759302594"
"max";"66.7484285954876";"66.7484285954876";"66.7484285954876";"66.7484285954876";"66.7484285954876";"66.7484285954876";"66.7484285954876";"66.7484285954876";"66.7484285954876";"66.7484285954876";"66.7484285954876";"66.7484285954876";"66.7484285954876";"66.7484285954876";"66.7484285954876";"66.7484285954876";"66.7484285954876";"66.7484285954876"
"4am";"22.884208";"11.595051";"19.955524";"12.716572";"19.487540";"14.992354";"13.098187";"11.513490";"12.033390";" 9.441171";" 9.092776";"12.686409";"11.046241";"17.802513";" 9.169624";" 9.201886";"11.420187";" 9.093320"
"5am";"22.453298";"11.595051";"19.521868";"12.747110";"18.620904";"16.038467";"13.166475";"12.124133";"11.324200";" 9.400294";" 9.210024";"12.789296";"11.046241";"17.621219";" 9.311624";" 9.198311";"11.482801";" 9.186317"
"6am";"21.531825";"12.011281";"19.490309";"12.925415";"18.356027";"16.698348";"13.517546";"12.037072";"11.327987";" 9.392023";" 9.402371";"12.703801";" 9.523427";"18.293498";" 9.613104";" 7.770209";"11.344518";" 8.155927"
"7am";"29.855676";" 3.661509";"21.908350";"18.003865";"21.034479";"12.927418";" 5.124439";" 6.493194";"11.213506";"10.721441";" 3.893500";" 9.012649";" 7.109753";"19.786829";" 8.134928";" 6.229901";" 7.503558";" 8.709386"
"8am";"28.541448";" 4.078072";"20.822325";"21.792759";"22.730602";" 6.688459";" 2.645163";" 7.502292";" 9.694462";"20.227897";" 6.699001";" 7.563682";" 7.950240";"17.618809";" 6.466353";" 3.597814";" 5.260651";" 5.849092"
"9am";"27.064779";" 3.570691";"20.110182";"22.573437";"24.939077";" 7.120080";" 4.237395";" 9.187517";" 9.973461";"23.240064";" 4.379089";" 8.163130";" 6.637529";"18.673530";" 6.727753";" 3.611066";" 5.350280";" 3.526734"
"10am";"27.316731";" 1.843428";"19.292547";"19.946671";"25.718581";" 6.445979";" 2.994314";" 8.718809";"10.474721";"21.942842";" 4.523312";"10.193157";" 4.581809";"19.355677";" 7.115470";" 3.767618";" 5.418938";" 3.983210"
"11am";"28.022468";" 2.341516";"20.617840";"18.431686";"25.020608";" 4.074076";" 2.885387";" 8.257578";"16.475308";"21.124789";" 4.190668";"10.580777";" 5.306704";"18.180609";" 6.978354";" 6.316127";" 5.328423";" 3.432447"
