"hour","cleduc1","cleduc2","cleduc3","cleduc4"
"4am",0.2109,0.1562,0.1113,0.2958
"5am",0.211,0.1533,0.1104,0.2912
"6am",0.2177,0.1442,0.1075,0.2902
"7am",0.2286,0.1394,0.1165,0.2913
"8am",0.2379,0.137,0.1239,0.2861
"9am",0.24,0.1392,0.1295,0.2791
"10am",0.2416,0.1414,0.1271,0.2826
"11am",0.2409,0.1413,0.127,0.2856
"12am",0.2363,0.153,0.1243,0.2903
"1pm",0.2336,0.1466,0.1161,0.29
"2pm",0.2281,0.1532,0.119,0.2962
"3pm",0.2229,0.1589,0.1238,0.289
"4pm",0.2152,0.1585,0.1158,0.287
"5pm",0.2107,0.1599,0.1213,0.2977
"6pm",0.2079,0.1577,0.1048,0.2991
"7pm",0.209,0.1555,0.1086,0.3019
"8pm",0.2092,0.1556,0.1054,0.2962
"9pm",0.2112,0.1574,0.1085,0.2937
"10pm",0.2125,0.1601,0.1113,0.294
"11pm",0.2146,0.1611,0.1147,0.2936
"12pm",0.2137,0.1604,0.1151,0.2952
"1am",0.2132,0.1605,0.1151,0.2962
"2am",0.2118,0.1606,0.1148,0.2969
"3am",0.2121,0.1597,0.1154,0.2999
