"hour","cs1","cs2","cs3","cs4","cs5"
"4am",0.2007,0.2154,0.1016,0.1086,0.2386
"5am",0.2042,0.2092,0.1045,0.1059,0.2376
"6am",0.2072,0.2028,0.1057,0.1103,0.2328
"7am",0.2096,0.2021,0.1019,0.1184,0.2258
"8am",0.2198,0.2103,0.09,0.1094,0.2245
"9am",0.2405,0.2106,0.0927,0.1053,0.2241
"10am",0.2266,0.2173,0.0998,0.117,0.2245
"11am",0.2247,0.2128,0.0949,0.118,0.2228
"12am",0.2207,0.2183,0.1065,0.1159,0.2202
"1pm",0.2116,0.2093,0.1035,0.1187,0.2285
"2pm",0.2258,0.2158,0.0999,0.126,0.2403
"3pm",0.2293,0.2153,0.0928,0.1178,0.2453
"4pm",0.2117,0.2225,0.1043,0.1155,0.2479
"5pm",0.2079,0.2251,0.0985,0.111,0.2372
"6pm",0.1981,0.2198,0.0909,0.1125,0.2296
"7pm",0.2021,0.2171,0.0971,0.1116,0.2336
"8pm",0.2007,0.2132,0.0968,0.1071,0.229
"9pm",0.2036,0.2099,0.0986,0.1041,0.2315
"10pm",0.1965,0.2156,0.1009,0.1071,0.2336
"11pm",0.199,0.2166,0.1019,0.1089,0.2338
"12pm",0.199,0.2171,0.1027,0.1118,0.2355
"1am",0.1992,0.2191,0.101,0.1106,0.2376
"2am",0.1989,0.2194,0.1006,0.11,0.2382
"3am",0.1984,0.2198,0.1008,0.1103,0.2386
