"hour","educmen1","educmen2","educmen3","educmen4"
"4am",0.156321910753963,0.318050069287677,0.0698932356559007,0.550520691927396
"5am",0.145941462454645,0.276582461029415,0.0617895364011436,0.53675891422748
"6am",0.143853471890882,0.240434216632115,0.0821647049807527,0.520555409826832
"7am",0.167082985894426,0.2004862800599,0.198075627713637,0.552262987682464
"8am",0.167094956658249,0.182012481967663,0.300645369729718,0.545689131078804
"9am",0.202359397252309,0.244868090036046,0.363950748206145,0.523585068426481
"10am",0.219664499622177,0.208347615064775,0.361165999433228,0.511234636663174
"11am",0.204619051101108,0.195654504784838,0.348266506945165,0.511349536203476
"12am",0.193651380225539,0.171210216362512,0.280992192554148,0.511236786746096
"1pm",0.226740089051089,0.241153448556738,0.313941547352688,0.520295619195048
"2pm",0.199015346817839,0.298116225696244,0.283914463764934,0.520545358411626
"3pm",0.232129213071904,0.277596468805724,0.291165224426871,0.557076803736228
"4pm",0.21246231289313,0.328572990159611,0.280237931343763,0.554256464589484
"5pm",0.187456058962307,0.332825598136995,0.182380941941215,0.480416166734472
"6pm",0.175238881582633,0.308746589024375,0.127120046627552,0.556228640803055
"7pm",0.173806512111543,0.26628443056826,0.0926823742955483,0.552963527725217
"8pm",0.196559738772526,0.269186635231376,0.0934923508452948,0.550376852367584
"9pm",0.186279510618314,0.285088364159939,0.0887393016651703,0.554300367751679
"10pm",0.176488126926662,0.268951392116594,0.0603626749326911,0.53728406539493
"11pm",0.166433095790414,0.266207938490651,0.0438689746930495,0.544984091224412
"12pm",0.159269949239583,0.28536553127775,0.0558473797495039,0.551582727008116
"1am",0.161909862986686,0.301650996198816,0.0537808696837769,0.557140528542473
"2am",0.162179784814669,0.299136110631831,0.0464872066348661,0.55802095901095
"3am",0.161899077763073,0.295846454655622,0.0379368836814838,0.556411447205487
