"hour","occ1","occ2","occ3","occ4","occ5"
"4am",0.0991,0.2326,0.2346,0.1356,0.2397
"5am",0.0962,0.2299,0.2325,0.1402,0.2423
"6am",0.0963,0.2402,0.2356,0.1512,0.2453
"7am",0.1009,0.3432,0.2193,0.1956,0.2325
"8am",0.1067,0.3534,0.2122,0.2197,0.2321
"9am",0.1069,0.3506,0.194,0.2168,0.2475
"10am",0.111,0.3586,0.1995,0.2222,0.2372
"11am",0.1098,0.3593,0.2111,0.2236,0.234
"12am",0.1075,0.3438,0.2179,0.2194,0.239
"1pm",0.1113,0.354,0.2159,0.2222,0.2324
"2pm",0.1029,0.342,0.2183,0.2152,0.2384
"3pm",0.0915,0.3233,0.2132,0.1999,0.236
"4pm",0.082,0.304,0.2008,0.1873,0.2318
"5pm",0.084,0.2725,0.2199,0.1627,0.2395
"6pm",0.0862,0.2412,0.2299,0.1469,0.2256
"7pm",0.0932,0.2438,0.245,0.1448,0.2257
"8pm",0.0952,0.2428,0.2365,0.1428,0.2288
"9pm",0.097,0.2425,0.2506,0.1412,0.2274
"10pm",0.0969,0.2417,0.248,0.1392,0.2287
"11pm",0.1003,0.2372,0.2487,0.1372,0.2328
"12pm",0.1022,0.236,0.2366,0.1369,0.2358
"1am",0.1028,0.2348,0.2373,0.1361,0.2379
"2am",0.1027,0.2358,0.2373,0.1351,0.2372
"3am",0.1033,0.2366,0.2417,0.136,0.2371
