"hour","resarea1","resarea2","resarea3"
"4am",0.9847,0.9814,0.9878
"5am",0.9753,0.9645,0.9799
"6am",0.9517,0.9378,0.9578
"7am",0.8543,0.8005,0.8749
"8am",0.7776,0.676,0.7885
"9am",0.7483,0.6327,0.7609
"10am",0.7384,0.6202,0.7514
"11am",0.7508,0.6467,0.7562
"12am",0.7693,0.6819,0.7716
"1pm",0.7539,0.6495,0.7608
"2pm",0.7394,0.629,0.7483
"3pm",0.7568,0.6444,0.7568
"4pm",0.7947,0.6957,0.7902
"5pm",0.8708,0.8096,0.8593
"6pm",0.9234,0.884,0.9101
"7pm",0.9451,0.916,0.9389
"8pm",0.9571,0.9255,0.9428
"9pm",0.9661,0.9474,0.9531
"10pm",0.9756,0.961,0.9658
"11pm",0.9848,0.9756,0.9804
"12pm",0.988,0.9814,0.9839
"1am",0.99,0.9858,0.986
"2am",0.9908,0.9878,0.9873
"3am",0.9921,0.9896,0.9893
