"hour","educmen1","educmen2","educmen3","educmen4"
"4am",0.2286,0.1709,0.1815,0.3743
"5am",0.2274,0.168,0.1774,0.369
"6am",0.2259,0.158,0.1715,0.3625
"7am",0.2319,0.1445,0.1679,0.3551
"8am",0.2362,0.1379,0.1705,0.3458
"9am",0.2325,0.1301,0.1677,0.3312
"10am",0.2335,0.1317,0.1674,0.3393
"11am",0.2327,0.1368,0.1717,0.3394
"12am",0.2305,0.1397,0.1615,0.3377
"1pm",0.2199,0.1347,0.1509,0.3333
"2pm",0.2175,0.1423,0.1607,0.3396
"3pm",0.2178,0.1474,0.1675,0.3404
"4pm",0.2122,0.1518,0.1735,0.3375
"5pm",0.2121,0.1609,0.1742,0.3556
"6pm",0.2175,0.1686,0.1701,0.3688
"7pm",0.2243,0.169,0.1742,0.3759
"8pm",0.228,0.1698,0.1718,0.3698
"9pm",0.231,0.1685,0.1754,0.3681
"10pm",0.234,0.174,0.1782,0.3658
"11pm",0.2324,0.1738,0.1791,0.3672
"12pm",0.232,0.1742,0.1759,0.3725
"1am",0.2311,0.1751,0.1781,0.3737
"2am",0.2302,0.1755,0.1799,0.3739
"3am",0.2297,0.1757,0.18,0.3778
